country_code,nace_r2_code,year,robot_wrkr_stock_95,n_ifr_rows,trade_available_ifr,gross_exports_usd_m,trade_available_wiod,entity,ud_pre,coord_pre,adjcov_pre,ud_available,coord_available,adjcov_available,both_available
AT,C10-C12,2000,0.0,1,True,2654.1036441680367,True,AT_C10-C12,43.75,4.0,98.0,True,True,True,True
AT,C10-C12,2001,0.0,1,True,3020.0771862804427,True,AT_C10-C12,43.75,4.0,98.0,True,True,True,True
AT,C10-C12,2002,0.0,1,True,3400.395410310878,True,AT_C10-C12,43.75,4.0,98.0,True,True,True,True
AT,C10-C12,2003,0.0,1,True,4369.269236378402,True,AT_C10-C12,43.75,4.0,98.0,True,True,True,True
AT,C10-C12,2004,0.0326797385620915,1,True,5218.592114238884,True,AT_C10-C12,43.75,4.0,98.0,True,True,True,True
AT,C10-C12,2005,0.1742919389978213,1,True,6310.024142216797,True,AT_C10-C12,43.75,4.0,98.0,True,True,True,True
AT,C10-C12,2006,0.3485838779956427,1,True,6935.319462403471,True,AT_C10-C12,43.75,4.0,98.0,True,True,True,True
AT,C10-C12,2007,0.4030501089324619,1,True,8127.503564672387,True,AT_C10-C12,43.75,4.0,98.0,True,True,True,True
AT,C10-C12,2008,0.533769063180828,1,True,9468.19079435484,True,AT_C10-C12,43.75,4.0,98.0,True,True,True,True
AT,C10-C12,2009,0.5773420479302832,1,True,8477.23928328262,True,AT_C10-C12,43.75,4.0,98.0,True,True,True,True
AT,C10-C12,2010,0.7080610021786493,1,True,9737.422980961714,True,AT_C10-C12,43.75,4.0,98.0,True,True,True,True
AT,C10-C12,2011,0.7843137254901961,1,True,11348.796373640227,True,AT_C10-C12,43.75,4.0,98.0,True,True,True,True
AT,C10-C12,2012,0.9912854030501088,1,True,11222.035582012004,True,AT_C10-C12,43.75,4.0,98.0,True,True,True,True
AT,C10-C12,2013,1.1437908496732023,1,True,11737.53292893458,True,AT_C10-C12,43.75,4.0,98.0,True,True,True,True
AT,C10-C12,2014,1.3616557734204793,1,True,12110.382083858582,True,AT_C10-C12,43.75,4.0,98.0,True,True,True,True
AT,C13-C15,2000,0.0,1,True,2906.390689857484,True,AT_C13-C15,43.75,4.0,98.0,True,True,True,True
AT,C13-C15,2001,0.0,1,True,2954.8503855700365,True,AT_C13-C15,43.75,4.0,98.0,True,True,True,True
AT,C13-C15,2002,0.0,1,True,3010.87797637053,True,AT_C13-C15,43.75,4.0,98.0,True,True,True,True
AT,C13-C15,2003,0.0,1,True,3435.0240708667134,True,AT_C13-C15,43.75,4.0,98.0,True,True,True,True
AT,C13-C15,2004,0.0,1,True,3697.504605907562,True,AT_C13-C15,43.75,4.0,98.0,True,True,True,True
AT,C13-C15,2005,0.0194401244167962,1,True,3981.8978805448687,True,AT_C13-C15,43.75,4.0,98.0,True,True,True,True
AT,C13-C15,2006,0.0194401244167962,1,True,4049.4114136593425,True,AT_C13-C15,43.75,4.0,98.0,True,True,True,True
AT,C13-C15,2007,0.0194401244167962,1,True,4361.992372334317,True,AT_C13-C15,43.75,4.0,98.0,True,True,True,True
AT,C13-C15,2008,0.0194401244167962,1,True,4565.257311343581,True,AT_C13-C15,43.75,4.0,98.0,True,True,True,True
AT,C13-C15,2009,0.0194401244167962,1,True,3603.835896146747,True,AT_C13-C15,43.75,4.0,98.0,True,True,True,True
AT,C13-C15,2010,0.0388802488335925,1,True,3700.033739571874,True,AT_C13-C15,43.75,4.0,98.0,True,True,True,True
AT,C13-C15,2011,0.0388802488335925,1,True,4120.793242488723,True,AT_C13-C15,43.75,4.0,98.0,True,True,True,True
AT,C13-C15,2012,0.0972006220839813,1,True,3660.701910592518,True,AT_C13-C15,43.75,4.0,98.0,True,True,True,True
AT,C13-C15,2013,0.1360808709175738,1,True,3921.699523382217,True,AT_C13-C15,43.75,4.0,98.0,True,True,True,True
AT,C13-C15,2014,0.1360808709175738,1,True,4000.850508785489,True,AT_C13-C15,43.75,4.0,98.0,True,True,True,True
AT,C16-C18,2000,0.0,2,True,5769.3264177260535,True,AT_C16-C18,43.75,4.0,98.0,True,True,True,True
AT,C16-C18,2001,0.0,2,True,5796.192415582738,True,AT_C16-C18,43.75,4.0,98.0,True,True,True,True
AT,C16-C18,2002,0.0,2,True,6326.366097905605,True,AT_C16-C18,43.75,4.0,98.0,True,True,True,True
AT,C16-C18,2003,0.0,2,True,7154.904730048127,True,AT_C16-C18,43.75,4.0,98.0,True,True,True,True
AT,C16-C18,2004,0.18865171700179287,2,True,7988.612571881807,True,AT_C16-C18,43.75,4.0,98.0,True,True,True,True
AT,C16-C18,2005,0.2797501032589506,2,True,8438.523187588082,True,AT_C16-C18,43.75,4.0,98.0,True,True,True,True
AT,C16-C18,2006,0.3448203791569204,2,True,9263.607328413884,True,AT_C16-C18,43.75,4.0,98.0,True,True,True,True
AT,C16-C18,2007,0.3902133229785405,2,True,11133.89845675398,True,AT_C16-C18,43.75,4.0,98.0,True,True,True,True
AT,C16-C18,2008,0.3966682674660179,2,True,11581.105318193971,True,AT_C16-C18,43.75,4.0,98.0,True,True,True,True
AT,C16-C18,2009,0.4420612112876381,2,True,9283.072163749286,True,AT_C16-C18,43.75,4.0,98.0,True,True,True,True
AT,C16-C18,2010,0.4941174320060139,2,True,10847.990953996416,True,AT_C16-C18,43.75,4.0,98.0,True,True,True,True
AT,C16-C18,2011,0.5913582641367316,2,True,12063.505010984163,True,AT_C16-C18,43.75,4.0,98.0,True,True,True,True
AT,C16-C18,2012,0.6434144848551075,2,True,10918.536394654811,True,AT_C16-C18,43.75,4.0,98.0,True,True,True,True
AT,C16-C18,2013,0.721290483523393,2,True,10911.593012799109,True,AT_C16-C18,43.75,4.0,98.0,True,True,True,True
AT,C16-C18,2014,0.805725592883795,2,True,10841.898383215444,True,AT_C16-C18,43.75,4.0,98.0,True,True,True,True
AT,C19,2000,0.0,1,True,751.2101923805703,True,AT_C19,43.75,4.0,98.0,True,True,True,True
AT,C19,2001,0.0,1,True,707.4807256914918,True,AT_C19,43.75,4.0,98.0,True,True,True,True
AT,C19,2002,0.0,1,True,694.3850923356324,True,AT_C19,43.75,4.0,98.0,True,True,True,True
AT,C19,2003,0.0,1,True,840.7633360538721,True,AT_C19,43.75,4.0,98.0,True,True,True,True
AT,C19,2004,0.0,1,True,1195.792625633134,True,AT_C19,43.75,4.0,98.0,True,True,True,True
AT,C19,2005,0.0692281066112841,1,True,2097.022547456732,True,AT_C19,43.75,4.0,98.0,True,True,True,True
AT,C19,2006,0.3115264797507788,1,True,2141.298810383174,True,AT_C19,43.75,4.0,98.0,True,True,True,True
AT,C19,2007,0.380754586362063,1,True,2780.2726156304607,True,AT_C19,43.75,4.0,98.0,True,True,True,True
AT,C19,2008,0.380754586362063,1,True,4068.5989694363266,True,AT_C19,43.75,4.0,98.0,True,True,True,True
AT,C19,2009,0.380754586362063,1,True,2510.20051906287,True,AT_C19,43.75,4.0,98.0,True,True,True,True
AT,C19,2010,0.4845967462789892,1,True,3117.0669887475487,True,AT_C19,43.75,4.0,98.0,True,True,True,True
AT,C19,2011,0.6230529595015576,1,True,3763.291314029931,True,AT_C19,43.75,4.0,98.0,True,True,True,True
AT,C19,2012,0.761509172724126,1,True,4499.5402997243,True,AT_C19,43.75,4.0,98.0,True,True,True,True
AT,C19,2013,0.9345794392523364,1,True,3893.9905674658057,True,AT_C19,43.75,4.0,98.0,True,True,True,True
AT,C19,2014,1.0730356524749047,1,True,3540.4658989966347,True,AT_C19,43.75,4.0,98.0,True,True,True,True
AT,C20-C21,2000,0.0,4,True,3464.291175747364,True,AT_C20-C21,43.75,4.0,98.0,True,True,True,True
AT,C20-C21,2001,0.0,4,True,3785.8314914315415,True,AT_C20-C21,43.75,4.0,98.0,True,True,True,True
AT,C20-C21,2002,0.0,4,True,4179.016199557813,True,AT_C20-C21,43.75,4.0,98.0,True,True,True,True
AT,C20-C21,2003,0.0,4,True,5664.962908753412,True,AT_C20-C21,43.75,4.0,98.0,True,True,True,True
AT,C20-C21,2004,1.0578512645901283,4,True,6046.144477595159,True,AT_C20-C21,43.75,4.0,98.0,True,True,True,True
AT,C20-C21,2005,1.8525906590541275,4,True,7240.098288322844,True,AT_C20-C21,43.75,4.0,98.0,True,True,True,True
AT,C20-C21,2006,2.8714412006564363,4,True,8171.039102352386,True,AT_C20-C21,43.75,4.0,98.0,True,True,True,True
AT,C20-C21,2007,3.7708426603965153,4,True,10234.608480805007,True,AT_C20-C21,43.75,4.0,98.0,True,True,True,True
AT,C20-C21,2008,4.986726007482463,4,True,11017.892837147712,True,AT_C20-C21,43.75,4.0,98.0,True,True,True,True
AT,C20-C21,2009,5.603516565928471,4,True,11835.5412301004,True,AT_C20-C21,43.75,4.0,98.0,True,True,True,True
AT,C20-C21,2010,6.267809517187457,4,True,16982.904688192924,True,AT_C20-C21,43.75,4.0,98.0,True,True,True,True
AT,C20-C21,2011,6.949754120285591,4,True,19033.92492718517,True,AT_C20-C21,43.75,4.0,98.0,True,True,True,True
AT,C20-C21,2012,8.446816051039107,4,True,18071.47559386592,True,AT_C20-C21,43.75,4.0,98.0,True,True,True,True
AT,C20-C21,2013,9.194053052690132,4,True,18475.220708448363,True,AT_C20-C21,43.75,4.0,98.0,True,True,True,True
AT,C20-C21,2014,10.655955536015327,4,True,19523.54738102071,True,AT_C20-C21,43.75,4.0,98.0,True,True,True,True
AT,C22-C23,2000,0.0,2,True,3391.6344053464973,True,AT_C22-C23,43.75,4.0,98.0,True,True,True,True
AT,C22-C23,2001,0.0,2,True,3576.09814163894,True,AT_C22-C23,43.75,4.0,98.0,True,True,True,True
AT,C22-C23,2002,0.0,2,True,3944.324749430415,True,AT_C22-C23,43.75,4.0,98.0,True,True,True,True
AT,C22-C23,2003,0.0,2,True,4654.7710460047065,True,AT_C22-C23,43.75,4.0,98.0,True,True,True,True
AT,C22-C23,2004,2.11558278512522,2,True,5426.362479203564,True,AT_C22-C23,43.75,4.0,98.0,True,True,True,True
AT,C22-C23,2005,4.0950250739199054,2,True,6225.183689245042,True,AT_C22-C23,43.75,4.0,98.0,True,True,True,True
AT,C22-C23,2006,6.584497964550702,2,True,7132.136143360891,True,AT_C22-C23,43.75,4.0,98.0,True,True,True,True
AT,C22-C23,2007,8.857928459409827,2,True,8588.794641086872,True,AT_C22-C23,43.75,4.0,98.0,True,True,True,True
AT,C22-C23,2008,11.901111050365284,2,True,9017.185074638875,True,AT_C22-C23,43.75,4.0,98.0,True,True,True,True
AT,C22-C23,2009,13.455527837629878,2,True,7043.304739938392,True,AT_C22-C23,43.75,4.0,98.0,True,True,True,True
AT,C22-C23,2010,15.087625763505432,2,True,7971.83477431414,True,AT_C22-C23,43.75,4.0,98.0,True,True,True,True
AT,C22-C23,2011,16.75372572950339,2,True,8983.305835229745,True,AT_C22-C23,43.75,4.0,98.0,True,True,True,True
AT,C22-C23,2012,20.459948102845793,2,True,8204.58339417329,True,AT_C22-C23,43.75,4.0,98.0,True,True,True,True
AT,C22-C23,2013,22.332678077931085,2,True,8494.483186331656,True,AT_C22-C23,43.75,4.0,98.0,True,True,True,True
AT,C22-C23,2014,25.51200116521708,2,True,8842.72938516466,True,AT_C22-C23,43.75,4.0,98.0,True,True,True,True
AT,C24-C25,2000,0.0,3,True,7680.383281256068,True,AT_C24-C25,43.75,4.0,98.0,True,True,True,True
