dropped_country,n_obs,n_entities,n_countries,beta_interaction,se_country_cluster,t,p_cluster,beta_robot_main,se_robot_main,p_robot_main,p_wild
BASELINE_NONE_DROPPED,2500,247,25,0.01244520486104949,0.005345655157661233,2.328097210538056,0.01990694239776122,0.004560350015913983,0.006879794939050389,0.507419370804109,0.08108108108108109
AT,2392,236,24,0.011776263171083587,0.005367655780400433,2.193930395850582,0.028240413820610735,0.005349308107689341,0.006800711059361754,0.4315273573344153,0.0980980980980981
BE,2394,236,24,0.012252588199968415,0.0055498251767690295,2.207743092747575,0.027262187037012078,0.004807962524299381,0.007029275648522911,0.4939807371905762,0.12012012012012012
BG,2447,238,24,0.013966131228156944,0.005232554067646175,2.66908493397365,0.007605821443489308,0.0029819145618803916,0.006872225927539579,0.6643551704566568,0.08108108108108109
CZ,2406,236,24,0.012598083766135797,0.005248125066427992,2.4004922913756657,0.016373035602298733,0.004412715084401692,0.007275385959809942,0.5441651266453265,0.09109109109109109
DE,2350,236,24,0.012696583138539703,0.005525646216174585,2.297755346944664,0.021575717512589025,0.008589032313914613,0.005589847512205576,0.12440564377010555,0.09309309309309309
DK,2354,236,24,0.015214087909343161,0.004990213767164909,3.0487848054627014,0.002297690044053991,0.007045545001348491,0.006773251681707863,0.29824640161185945,0.03803803803803804
EE,2454,237,24,0.01197963018103405,0.005535780135098341,2.164036484231005,0.03046154945443274,0.004074276527580717,0.00688378238384872,0.5539403440589107,0.12412412412412413
EL,2431,237,24,0.011270015452219492,0.0056022032846542065,2.0117112642254162,0.04425038251744277,0.00557635384965896,0.006875789175192118,0.4173582517462471,0.15415415415415415
ES,2350,236,24,0.011682567197944681,0.00520004910450749,2.2466263227818435,0.024663918457727536,0.00325625585188509,0.007104247559668226,0.6466985825354056,0.15315315315315314
FI,2350,236,24,0.012301604915309017,0.005222608816586757,2.355452102068167,0.01850018191353641,0.003787823463166043,0.00711851551790281,0.5946507680553298,0.09509509509509509
FR,2350,236,24,0.012594221846034514,0.005292984214274376,2.3794179873179684,0.01734000109941034,0.0023551888929026626,0.006999361995959233,0.7365042377574947,0.1111111111111111
HU,2417,237,24,0.007885558001547305,0.005767037295444092,1.3673499229451533,0.1715156506346579,0.007692196510450597,0.006778164119009174,0.256438360452205,0.19019019019019018
IE,2431,237,24,0.01338600174737993,0.005601725902775918,2.389620981052739,0.01686576805915287,0.006111218298668557,0.006931066195907803,0.37793147269878635,0.08208208208208208
IT,2350,236,24,0.012319612631713047,0.005370341000968029,2.2940093803153987,0.02178995993852755,0.0034792249200749914,0.007439282993342381,0.6400114218320789,0.0960960960960961
LT,2457,240,24,0.012127870330112978,0.005784893749428035,2.096472442784638,0.036040301990092345,0.004276039089075201,0.0070105834700564685,0.5419011942858214,0.14514514514514515
LV,2468,242,24,0.01280349443333462,0.005426236085378007,2.359553515895852,0.018296941592967457,0.0038618723121459225,0.006945486121780997,0.578192938590785,0.08808808808808809
MT,2492,246,24,0.012463264111201623,0.005346212352581546,2.3312325229998465,0.01974110208037161,0.004655231562300535,0.006891205876637673,0.4993376919046487,0.0980980980980981
NL,2400,236,24,0.011735991356932388,0.006448299147029506,1.8200134778701647,0.06875695241863986,0.004585401750149737,0.00716984614717725,0.5224718507780078,0.1831831831831832
NO,2362,237,24,0.010105176189950117,0.004797370198977344,2.1063990834195447,0.03516970085355998,0.005861009404762724,0.00690151998212458,0.3957507765507854,0.16516516516516516
PL,2403,236,24,0.014498110039854024,0.005506010493288952,2.6331424644986003,0.008459885367687721,0.005996876567569351,0.007131613868249623,0.40041162081736636,0.07607607607607608
PT,2410,236,24,0.01344346928647571,0.005572525984016211,2.4124551998565615,0.015845484649315643,0.0026126581664718818,0.007105534953555156,0.7131018770013777,0.08608608608608609
SE,2352,236,24,0.012274732442150063,0.005406322836491559,2.2704401519084585,0.023180890640673746,0.004223862756107269,0.007410355352633255,0.5686813404109995,0.12412412412412413
SI,2409,236,24,0.012688410886890107,0.005445706566203493,2.3299843156506888,0.01980698009793492,0.0037287638075561014,0.006955731581289988,0.5919096980361751,0.1031031031031031
SK,2421,237,24,0.012550849239835536,0.005188211849252385,2.419108857639284,0.015558583368387356,0.003714805129400048,0.0074458016842332015,0.617840876540682,0.08508508508508508
UK,2350,236,24,0.01301974361206346,0.0051309972753129434,2.5374684322492405,0.011165743767740932,0.0028608639962019594,0.0072474330653211315,0.6930335299053538,0.07207207207207207
