country_code,nace_r2_code,raw_ifr_codes
AT,C10-C12,1
AT,C13-C15,1
AT,C16-C18,2
AT,C19,1
AT,C20-C21,4
AT,C22-C23,2
AT,C24-C25,3
AT,C26-C27,3
AT,C28,1
AT,C29-C30,3
AT,C31-C33,1
BE,C10-C12,1
BE,C13-C15,1
BE,C16-C18,2
BE,C19,1
BE,C20-C21,4
BE,C22-C23,2
BE,C24-C25,3
BE,C26-C27,3
BE,C28,1
BE,C29-C30,3
BE,C31-C33,1
BG,C10-C12,1
BG,C13-C15,1
BG,C16-C18,2
BG,C19,1
BG,C20-C21,4
BG,C22-C23,2
BG,C24-C25,3
BG,C26-C27,3
BG,C28,1
BG,C29-C30,3
BG,C31-C33,1
CZ,C10-C12,1
CZ,C13-C15,1
CZ,C16-C18,2
CZ,C19,1
CZ,C20-C21,4
CZ,C22-C23,2
CZ,C24-C25,3
CZ,C26-C27,3
CZ,C28,1
CZ,C29-C30,3
CZ,C31-C33,1
DE,C10-C12,1
DE,C13-C15,1
DE,C16-C18,2
DE,C19,1
DE,C20-C21,4
DE,C22-C23,2
DE,C24-C25,3
DE,C26-C27,3
DE,C28,1
DE,C29-C30,3
DE,C31-C33,1
DK,C10-C12,1
DK,C13-C15,1
DK,C16-C18,2
DK,C19,1
DK,C20-C21,4
DK,C22-C23,2
DK,C24-C25,3
DK,C26-C27,3
DK,C28,1
DK,C29-C30,3
DK,C31-C33,1
EE,C10-C12,1
EE,C13-C15,1
EE,C16-C18,2
EE,C19,1
EE,C20-C21,4
EE,C22-C23,2
EE,C24-C25,3
EE,C26-C27,3
EE,C28,1
EE,C29-C30,3
EE,C31-C33,1
EL,C10-C12,1
EL,C13-C15,1
EL,C16-C18,2
EL,C19,1
EL,C20-C21,4
EL,C22-C23,2
EL,C24-C25,3
EL,C26-C27,3
EL,C28,1
EL,C29-C30,3
EL,C31-C33,1
ES,C10-C12,1
ES,C13-C15,1
ES,C16-C18,2
ES,C19,1
ES,C20-C21,4
ES,C22-C23,2
ES,C24-C25,3
ES,C26-C27,3
ES,C28,1
ES,C29-C30,3
ES,C31-C33,1
FI,C10-C12,1
FI,C13-C15,1
FI,C16-C18,2
FI,C19,1
FI,C20-C21,4
FI,C22-C23,2
FI,C24-C25,3
FI,C26-C27,3
FI,C28,1
FI,C29-C30,3
FI,C31-C33,1
FR,C10-C12,1
FR,C13-C15,1
FR,C16-C18,2
FR,C19,1
FR,C20-C21,4
FR,C22-C23,2
FR,C24-C25,3
FR,C26-C27,3
FR,C28,1
FR,C29-C30,3
FR,C31-C33,1
HU,C10-C12,1
HU,C13-C15,1
HU,C16-C18,2
HU,C19,1
HU,C20-C21,4
HU,C22-C23,2
HU,C24-C25,3
HU,C26-C27,3
HU,C28,1
HU,C29-C30,3
HU,C31-C33,1
IE,C10-C12,1
IE,C13-C15,1
IE,C16-C18,2
IE,C19,1
IE,C20-C21,3
IE,C22-C23,2
IE,C24-C25,3
IE,C26-C27,3
IE,C28,1
IE,C29-C30,3
IE,C31-C33,1
IT,C10-C12,1
IT,C13-C15,1
IT,C16-C18,2
IT,C19,1
IT,C20-C21,4
IT,C22-C23,2
IT,C24-C25,3
IT,C26-C27,3
IT,C28,1
IT,C29-C30,3
IT,C31-C33,1
LT,C10-C12,1
LT,C13-C15,1
LT,C16-C18,2
LT,C19,1
LT,C20-C21,3
LT,C22-C23,2
LT,C24-C25,3
LT,C26-C27,3
LT,C28,1
LT,C29-C30,3
LT,C31-C33,1
LV,C10-C12,1
LV,C13-C15,1
LV,C16-C18,2
LV,C19,1
LV,C20-C21,4
LV,C22-C23,2
LV,C24-C25,3
LV,C26-C27,3
LV,C28,1
LV,C29-C30,3
LV,C31-C33,1
MT,C10-C12,1
MT,C13-C15,1
MT,C16-C18,1
MT,C29-C30,1
MT,C31-C33,1
NL,C10-C12,1
NL,C13-C15,1
NL,C16-C18,2
NL,C19,1
NL,C20-C21,4
NL,C22-C23,2
NL,C24-C25,3
NL,C26-C27,3
NL,C28,1
NL,C29-C30,3
NL,C31-C33,1
NO,C10-C12,1
NO,C13-C15,1
NO,C16-C18,2
NO,C20-C21,2
NO,C22-C23,2
NO,C24-C25,3
NO,C26-C27,3
NO,C28,1
NO,C29-C30,3
NO,C31-C33,1
PL,C10-C12,1
PL,C13-C15,1
PL,C16-C18,2
PL,C19,1
PL,C20-C21,4
PL,C22-C23,2
PL,C24-C25,3
PL,C26-C27,3
PL,C28,1
PL,C29-C30,3
PL,C31-C33,1
PT,C10-C12,1
PT,C13-C15,1
PT,C16-C18,2
PT,C19,1
PT,C20-C21,4
PT,C22-C23,2
PT,C24-C25,3
PT,C26-C27,3
PT,C28,1
PT,C29-C30,3
PT,C31-C33,1
RO,C10-C12,1
RO,C13-C15,1
RO,C16-C18,2
RO,C19,1
RO,C20-C21,4
RO,C22-C23,2
RO,C24-C25,3
RO,C26-C27,3
RO,C28,1
RO,C29-C30,3
RO,C31-C33,1
SE,C10-C12,1
SE,C13-C15,1
SE,C16-C18,2
SE,C19,1
SE,C20-C21,3
SE,C22-C23,2
SE,C24-C25,3
SE,C26-C27,3
SE,C28,1
SE,C29-C30,3
SE,C31-C33,1
SI,C10-C12,1
SI,C13-C15,1
SI,C16-C18,2
SI,C19,1
SI,C20-C21,4
SI,C22-C23,2
SI,C24-C25,3
SI,C26-C27,3
SI,C28,1
SI,C29-C30,3
SI,C31-C33,1
SK,C10-C12,1
SK,C13-C15,1
SK,C16-C18,2
SK,C19,1
SK,C20-C21,4
SK,C22-C23,2
SK,C24-C25,3
SK,C26-C27,3
SK,C28,1
SK,C29-C30,3
SK,C31-C33,1
UK,C10-C12,1
UK,C13-C15,1
UK,C16-C18,2
UK,C19,1
UK,C20-C21,4
UK,C22-C23,2
UK,C24-C25,3
UK,C26-C27,3
UK,C28,1
UK,C29-C30,3
UK,C31-C33,1
