country_code,coord_pre,ud_pre,coord_pre_c,ud_pre_c
AT,4.0,43.75,1.2139784946236565,-1.7026436781609178
BE,4.0,50.01666666666667,1.2139784946236565,4.564022988505755
CZ,3.0,50.9,0.2139784946236562,5.447356321839081
DE,4.0,30.15,1.2139784946236565,-15.302643678160916
DK,4.0,74.98333333333333,1.2139784946236565,29.530689655172417
EE,2.0,57.2,-0.7860215053763437,11.747356321839083
EL,2.0,28.85,-0.7860215053763437,-16.602643678160916
ES,2.0,15.416666666666666,-0.7860215053763437,-30.035977011494253
FI,3.1666666666666665,75.64999999999999,0.3806451612903228,30.197356321839074
FR,2.0,9.0,-0.7860215053763437,-36.45264367816092
HU,1.5,42.65,-1.2860215053763435,-2.802643678160919
IE,4.333333333333333,41.61666666666667,1.5473118279569893,-3.83597701149425
IT,3.3333333333333335,36.25,0.5473118279569897,-9.202643678160918
LT,1.0,33.4,-1.7860215053763435,-12.05264367816092
LV,1.0,28.6,-1.7860215053763435,-16.852643678160916
MT,1.5,59.05,-1.2860215053763435,13.59735632183908
NL,4.333333333333333,24.95,1.5473118279569893,-20.50264367816092
NO,4.0,56.883333333333326,1.2139784946236565,11.430689655172408
PL,4.166666666666667,46.099999999999994,1.3806451612903232,0.6473563218390765
PT,2.3333333333333335,23.6,-0.4526881720430102,-21.852643678160916
SE,3.6666666666666665,83.48333333333333,0.8806451612903228,38.03068965517242
SK,3.0,61.8,0.2139784946236562,16.34735632183908
UK,2.0,37.06666666666667,-0.7860215053763437,-8.385977011494248
