country_code,nace_r2_code,year,gross_exports_usd_m,trade_available
AT,C10-C12,2000,2654.1036441680367,True
AT,C10-C12,2001,3020.0771862804427,True
AT,C10-C12,2002,3400.395410310878,True
AT,C10-C12,2003,4369.269236378402,True
AT,C10-C12,2004,5218.592114238884,True
AT,C10-C12,2005,6310.024142216797,True
AT,C10-C12,2006,6935.319462403471,True
AT,C10-C12,2007,8127.503564672387,True
AT,C10-C12,2008,9468.19079435484,True
AT,C10-C12,2009,8477.23928328262,True
AT,C10-C12,2010,9737.422980961714,True
AT,C10-C12,2011,11348.796373640227,True
AT,C10-C12,2012,11222.035582012004,True
AT,C10-C12,2013,11737.53292893458,True
AT,C10-C12,2014,12110.382083858582,True
AT,C13-C15,2000,2906.390689857484,True
AT,C13-C15,2001,2954.8503855700365,True
AT,C13-C15,2002,3010.8779763705306,True
AT,C13-C15,2003,3435.0240708667134,True
AT,C13-C15,2004,3697.504605907562,True
AT,C13-C15,2005,3981.8978805448687,True
AT,C13-C15,2006,4049.4114136593425,True
AT,C13-C15,2007,4361.992372334317,True
AT,C13-C15,2008,4565.257311343581,True
AT,C13-C15,2009,3603.8358961467475,True
AT,C13-C15,2010,3700.033739571874,True
AT,C13-C15,2011,4120.793242488723,True
AT,C13-C15,2012,3660.701910592518,True
AT,C13-C15,2013,3921.699523382217,True
AT,C13-C15,2014,4000.850508785489,True
AT,C16-C18,2000,5769.3264177260535,True
AT,C16-C18,2001,5796.192415582738,True
AT,C16-C18,2002,6326.366097905605,True
AT,C16-C18,2003,7154.904730048127,True
AT,C16-C18,2004,7988.612571881807,True
AT,C16-C18,2005,8438.523187588082,True
AT,C16-C18,2006,9263.607328413884,True
AT,C16-C18,2007,11133.898456753981,True
AT,C16-C18,2008,11581.105318193971,True
AT,C16-C18,2009,9283.072163749286,True
AT,C16-C18,2010,10847.990953996416,True
AT,C16-C18,2011,12063.505010984165,True
AT,C16-C18,2012,10918.536394654811,True
AT,C16-C18,2013,10911.593012799107,True
AT,C16-C18,2014,10841.898383215443,True
AT,C19,2000,751.2101923805703,True
AT,C19,2001,707.4807256914918,True
AT,C19,2002,694.3850923356324,True
AT,C19,2003,840.7633360538721,True
AT,C19,2004,1195.792625633134,True
AT,C19,2005,2097.022547456732,True
AT,C19,2006,2141.298810383174,True
AT,C19,2007,2780.2726156304607,True
AT,C19,2008,4068.5989694363266,True
AT,C19,2009,2510.20051906287,True
AT,C19,2010,3117.0669887475487,True
AT,C19,2011,3763.2913140299315,True
AT,C19,2012,4499.5402997243,True
AT,C19,2013,3893.9905674658053,True
AT,C19,2014,3540.4658989966347,True
AT,C20-C21,2000,3464.291175747364,True
AT,C20-C21,2001,3785.8314914315415,True
AT,C20-C21,2002,4179.016199557813,True
AT,C20-C21,2003,5664.962908753412,True
AT,C20-C21,2004,6046.144477595159,True
AT,C20-C21,2005,7240.098288322844,True
AT,C20-C21,2006,8171.039102352386,True
AT,C20-C21,2007,10234.608480805007,True
AT,C20-C21,2008,11017.892837147712,True
AT,C20-C21,2009,11835.5412301004,True
AT,C20-C21,2010,16982.904688192924,True
AT,C20-C21,2011,19033.92492718517,True
AT,C20-C21,2012,18071.475593865922,True
AT,C20-C21,2013,18475.220708448363,True
AT,C20-C21,2014,19523.54738102071,True
AT,C22-C23,2000,3391.6344053464973,True
AT,C22-C23,2001,3576.09814163894,True
AT,C22-C23,2002,3944.324749430415,True
AT,C22-C23,2003,4654.7710460047065,True
AT,C22-C23,2004,5426.362479203564,True
AT,C22-C23,2005,6225.183689245042,True
AT,C22-C23,2006,7132.136143360891,True
AT,C22-C23,2007,8588.794641086872,True
AT,C22-C23,2008,9017.185074638875,True
AT,C22-C23,2009,7043.304739938392,True
AT,C22-C23,2010,7971.83477431414,True
AT,C22-C23,2011,8983.305835229745,True
AT,C22-C23,2012,8204.58339417329,True
AT,C22-C23,2013,8494.483186331656,True
AT,C22-C23,2014,8842.72938516466,True
AT,C24-C25,2000,7680.383281256068,True
AT,C24-C25,2001,7715.779967049213,True
AT,C24-C25,2002,8016.202962013549,True
AT,C24-C25,2003,9681.90839958184,True
AT,C24-C25,2004,11847.216503127249,True
AT,C24-C25,2005,14956.121663942504,True
AT,C24-C25,2006,18143.2567536735,True
AT,C24-C25,2007,22725.58905856187,True
AT,C24-C25,2008,26126.509165705163,True
AT,C24-C25,2009,16839.425058964174,True
AT,C24-C25,2010,20374.546476793206,True
AT,C24-C25,2011,24808.67457138607,True
AT,C24-C25,2012,23225.64649786579,True
AT,C24-C25,2013,22133.365181494428,True
AT,C24-C25,2014,22135.831551759504,True
AT,C26-C27,2000,8228.159211527407,True
AT,C26-C27,2001,8551.256264158736,True
AT,C26-C27,2002,9371.63386440025,True
AT,C26-C27,2003,10462.713282635614,True
AT,C26-C27,2004,12154.190542055047,True
AT,C26-C27,2005,13607.14190160115,True
AT,C26-C27,2006,14972.170556170488,True
AT,C26-C27,2007,16212.118394806175,True
AT,C26-C27,2008,18120.663517202152,True
AT,C26-C27,2009,14637.933397887744,True
AT,C26-C27,2010,15246.09859625066,True
AT,C26-C27,2011,17477.67393400034,True
AT,C26-C27,2012,16281.993888260367,True
AT,C26-C27,2013,16412.86148618569,True
AT,C26-C27,2014,17030.76425672508,True
