country_code,present_in_ifr,ifr_nace_groups,coord_available,adjcov_available,ud_available,in_current_klems_sample,trade_pivot_survives,greece_current_code_gap
AT,Y,11,Y,Y,Y,Y,Y,
BE,Y,11,Y,Y,Y,Y,Y,
BG,Y,11,Y,N,N,N,Y,
CY,N,0,Y,Y,Y,N,N,
CZ,Y,11,Y,N,Y,Y,Y,
DE,Y,11,Y,Y,Y,Y,Y,
DK,Y,11,Y,Y,Y,Y,Y,
EE,Y,11,Y,N,Y,N,Y,
EL,Y,11,Y,Y,Y,N,Y,Dropped in current pipeline (GR/EL mismatch)
ES,Y,11,Y,N,Y,Y,Y,
FI,Y,11,Y,Y,Y,Y,Y,
FR,Y,11,Y,Y,Y,Y,Y,
HR,N,0,Y,N,Y,N,N,
HU,Y,11,Y,N,Y,N,Y,
IE,Y,11,Y,Y,Y,N,Y,
IT,Y,11,Y,Y,Y,Y,Y,
LT,Y,11,Y,N,Y,N,Y,
LU,N,0,Y,Y,Y,N,N,
LV,Y,11,Y,N,Y,Y,Y,
MT,Y,5,Y,Y,Y,N,Y,
NL,Y,11,Y,Y,Y,Y,Y,
PL,Y,11,Y,N,Y,N,Y,
PT,Y,11,Y,Y,Y,N,Y,
RO,Y,11,N,N,N,N,Y,
SE,Y,11,Y,Y,Y,Y,Y,
SI,Y,11,Y,Y,N,N,Y,
SK,Y,11,Y,N,Y,Y,Y,
