country_iso2,ud_available,coord_available,adjcov_available,ud_pre,coord_pre,adjcov_pre,ud_earliest,coord_earliest,adjcov_earliest
AT,True,True,True,43.75,4.0,98.0,59.4,4.0,95.0
BE,True,True,True,50.01666666666667,4.0,100.0,37.4,4.0,80.0
BG,False,True,False,,1.0,,31.1,1.0,14.5
CY,True,True,True,62.7,2.0,62.7,62.7,2.0,62.7
CZ,True,True,False,50.9,3.0,,61.6,4.0,41.6
DE,True,True,True,30.150000000000002,4.0,85.0,33.9,4.0,85.0
DK,True,True,True,74.98333333333333,4.0,82.9,54.6,5.0,79.0
EE,True,True,False,57.2,2.0,,94.0,2.0,
EL,True,True,True,28.85,2.0,85.0,40.3,1.0,85.0
ES,True,True,False,15.416666666666666,2.0,,38.6,5.0,91.2
FI,True,True,True,75.64999999999999,3.1666666666666665,83.0,29.7,2.0,63.0
FR,True,True,True,9.0,2.0,93.2,17.4,1.0,50.0
HR,True,True,False,70.0,2.6,,70.0,3.0,61.0
HU,True,True,False,42.65,1.5,,44.0,2.0,38.1
IE,True,True,True,41.61666666666667,4.333333333333333,60.3,37.1,1.0,70.0
IT,True,True,True,36.25,3.3333333333333335,100.0,26.2,3.0,100.0
LT,True,True,False,33.4,1.0,,33.4,1.0,24.5
LU,True,True,True,45.4,2.0,60.0,46.8,2.0,60.0
LV,True,True,False,28.6,1.0,,28.6,1.0,
MT,True,True,True,59.05,1.5,59.7,43.7,1.0,59.7
NL,True,True,True,24.95,4.333333333333333,82.16666666666667,35.7,5.0,80.8
PL,True,True,False,46.099999999999994,4.166666666666667,,63.7,5.0,25.0
PT,True,True,True,23.6,2.3333333333333335,98.46000000000001,64.6,3.0,98.3
RO,False,False,False,,,,46.2,4.0,100.0
SE,True,True,True,83.48333333333333,3.6666666666666665,90.7,63.5,5.0,75.0
SI,False,True,True,,3.6,100.0,,4.0,100.0
SK,True,True,False,61.8,3.0,,61.8,3.0,52.0
