country_code,nace_r2_code,years_present,first_year,last_year
AT,C10-C12,15,2000,2014
AT,C13-C15,15,2000,2014
AT,C16-C18,15,2000,2014
AT,C19,15,2000,2014
AT,C20-C21,15,2000,2014
AT,C22-C23,15,2000,2014
AT,C24-C25,15,2000,2014
AT,C26-C27,15,2000,2014
AT,C28,15,2000,2014
AT,C29-C30,15,2000,2014
AT,C31-C33,15,2000,2014
BE,C10-C12,15,2000,2014
BE,C13-C15,15,2000,2014
BE,C16-C18,15,2000,2014
BE,C19,15,2000,2014
BE,C20-C21,15,2000,2014
BE,C22-C23,15,2000,2014
BE,C24-C25,15,2000,2014
BE,C26-C27,15,2000,2014
BE,C28,15,2000,2014
BE,C29-C30,15,2000,2014
BE,C31-C33,15,2000,2014
BG,C10-C12,15,2000,2014
BG,C13-C15,15,2000,2014
BG,C16-C18,15,2000,2014
BG,C19,15,2000,2014
BG,C20-C21,15,2000,2014
BG,C22-C23,15,2000,2014
BG,C24-C25,15,2000,2014
BG,C26-C27,15,2000,2014
BG,C28,15,2000,2014
BG,C29-C30,15,2000,2014
BG,C31-C33,15,2000,2014
CZ,C10-C12,15,2000,2014
CZ,C13-C15,15,2000,2014
CZ,C16-C18,15,2000,2014
CZ,C19,15,2000,2014
CZ,C20-C21,15,2000,2014
CZ,C22-C23,15,2000,2014
CZ,C24-C25,15,2000,2014
CZ,C26-C27,15,2000,2014
CZ,C28,15,2000,2014
CZ,C29-C30,15,2000,2014
CZ,C31-C33,15,2000,2014
DE,C10-C12,15,2000,2014
DE,C13-C15,15,2000,2014
DE,C16-C18,15,2000,2014
DE,C19,15,2000,2014
DE,C20-C21,15,2000,2014
DE,C22-C23,15,2000,2014
DE,C24-C25,15,2000,2014
DE,C26-C27,15,2000,2014
DE,C28,15,2000,2014
DE,C29-C30,15,2000,2014
DE,C31-C33,15,2000,2014
DK,C10-C12,15,2000,2014
DK,C13-C15,15,2000,2014
DK,C16-C18,15,2000,2014
DK,C19,15,2000,2014
DK,C20-C21,15,2000,2014
DK,C22-C23,15,2000,2014
DK,C24-C25,15,2000,2014
DK,C26-C27,15,2000,2014
DK,C28,15,2000,2014
DK,C29-C30,15,2000,2014
DK,C31-C33,15,2000,2014
EE,C10-C12,15,2000,2014
EE,C13-C15,15,2000,2014
EE,C16-C18,15,2000,2014
EE,C19,15,2000,2014
EE,C20-C21,15,2000,2014
EE,C22-C23,15,2000,2014
EE,C24-C25,15,2000,2014
EE,C26-C27,15,2000,2014
EE,C28,15,2000,2014
EE,C29-C30,15,2000,2014
EE,C31-C33,15,2000,2014
EL,C10-C12,15,2000,2014
EL,C13-C15,15,2000,2014
EL,C16-C18,15,2000,2014
EL,C19,15,2000,2014
EL,C20-C21,15,2000,2014
EL,C22-C23,15,2000,2014
EL,C24-C25,15,2000,2014
EL,C26-C27,15,2000,2014
EL,C28,15,2000,2014
EL,C29-C30,15,2000,2014
EL,C31-C33,15,2000,2014
ES,C10-C12,15,2000,2014
ES,C13-C15,15,2000,2014
ES,C16-C18,15,2000,2014
ES,C19,15,2000,2014
ES,C20-C21,15,2000,2014
ES,C22-C23,15,2000,2014
ES,C24-C25,15,2000,2014
ES,C26-C27,15,2000,2014
ES,C28,15,2000,2014
ES,C29-C30,15,2000,2014
ES,C31-C33,15,2000,2014
FI,C10-C12,15,2000,2014
FI,C13-C15,15,2000,2014
FI,C16-C18,15,2000,2014
FI,C19,15,2000,2014
FI,C20-C21,15,2000,2014
FI,C22-C23,15,2000,2014
FI,C24-C25,15,2000,2014
FI,C26-C27,15,2000,2014
FI,C28,15,2000,2014
FI,C29-C30,15,2000,2014
FI,C31-C33,15,2000,2014
FR,C10-C12,15,2000,2014
FR,C13-C15,15,2000,2014
FR,C16-C18,15,2000,2014
FR,C19,15,2000,2014
FR,C20-C21,15,2000,2014
FR,C22-C23,15,2000,2014
FR,C24-C25,15,2000,2014
FR,C26-C27,15,2000,2014
FR,C28,15,2000,2014
FR,C29-C30,15,2000,2014
FR,C31-C33,15,2000,2014
HU,C10-C12,15,2000,2014
HU,C13-C15,15,2000,2014
HU,C16-C18,15,2000,2014
HU,C19,15,2000,2014
HU,C20-C21,15,2000,2014
HU,C22-C23,15,2000,2014
HU,C24-C25,15,2000,2014
HU,C26-C27,15,2000,2014
HU,C28,15,2000,2014
HU,C29-C30,15,2000,2014
HU,C31-C33,15,2000,2014
IE,C10-C12,15,2000,2014
IE,C13-C15,15,2000,2014
IE,C16-C18,15,2000,2014
IE,C19,15,2000,2014
IE,C20-C21,15,2000,2014
IE,C22-C23,15,2000,2014
IE,C24-C25,15,2000,2014
IE,C26-C27,15,2000,2014
IE,C28,15,2000,2014
IE,C29-C30,15,2000,2014
IE,C31-C33,15,2000,2014
IT,C10-C12,15,2000,2014
IT,C13-C15,15,2000,2014
IT,C16-C18,15,2000,2014
IT,C19,15,2000,2014
IT,C20-C21,15,2000,2014
IT,C22-C23,15,2000,2014
IT,C24-C25,15,2000,2014
IT,C26-C27,15,2000,2014
IT,C28,15,2000,2014
IT,C29-C30,15,2000,2014
IT,C31-C33,15,2000,2014
LT,C10-C12,15,2000,2014
LT,C13-C15,15,2000,2014
LT,C16-C18,15,2000,2014
LT,C19,15,2000,2014
LT,C20-C21,15,2000,2014
LT,C22-C23,15,2000,2014
LT,C24-C25,15,2000,2014
LT,C26-C27,15,2000,2014
LT,C28,15,2000,2014
LT,C29-C30,15,2000,2014
LT,C31-C33,15,2000,2014
LV,C10-C12,15,2000,2014
LV,C13-C15,15,2000,2014
LV,C16-C18,15,2000,2014
LV,C19,15,2000,2014
LV,C20-C21,15,2000,2014
LV,C22-C23,15,2000,2014
LV,C24-C25,15,2000,2014
LV,C26-C27,15,2000,2014
LV,C28,15,2000,2014
LV,C29-C30,15,2000,2014
LV,C31-C33,15,2000,2014
MT,C10-C12,15,2000,2014
MT,C13-C15,15,2000,2014
MT,C16-C18,15,2000,2014
MT,C29-C30,15,2000,2014
MT,C31-C33,15,2000,2014
NL,C10-C12,15,2000,2014
NL,C13-C15,15,2000,2014
NL,C16-C18,15,2000,2014
NL,C19,15,2000,2014
NL,C20-C21,15,2000,2014
NL,C22-C23,15,2000,2014
NL,C24-C25,15,2000,2014
NL,C26-C27,15,2000,2014
NL,C28,15,2000,2014
NL,C29-C30,15,2000,2014
NL,C31-C33,15,2000,2014
PL,C10-C12,15,2000,2014
PL,C13-C15,15,2000,2014
PL,C16-C18,15,2000,2014
PL,C19,15,2000,2014
PL,C20-C21,15,2000,2014
PL,C22-C23,15,2000,2014
PL,C24-C25,15,2000,2014
PL,C26-C27,15,2000,2014
PL,C28,15,2000,2014
PL,C29-C30,15,2000,2014
PL,C31-C33,15,2000,2014
PT,C10-C12,15,2000,2014
PT,C13-C15,15,2000,2014
PT,C16-C18,15,2000,2014
PT,C19,15,2000,2014
PT,C20-C21,15,2000,2014
PT,C22-C23,15,2000,2014
PT,C24-C25,15,2000,2014
PT,C26-C27,15,2000,2014
PT,C28,15,2000,2014
PT,C29-C30,15,2000,2014
PT,C31-C33,15,2000,2014
RO,C10-C12,15,2000,2014
RO,C13-C15,15,2000,2014
RO,C16-C18,15,2000,2014
RO,C19,15,2000,2014
RO,C20-C21,15,2000,2014
RO,C22-C23,15,2000,2014
RO,C24-C25,15,2000,2014
RO,C26-C27,15,2000,2014
RO,C28,15,2000,2014
RO,C29-C30,15,2000,2014
RO,C31-C33,15,2000,2014
SE,C10-C12,15,2000,2014
SE,C13-C15,15,2000,2014
SE,C16-C18,15,2000,2014
SE,C19,15,2000,2014
SE,C20-C21,15,2000,2014
SE,C22-C23,15,2000,2014
SE,C24-C25,15,2000,2014
SE,C26-C27,15,2000,2014
SE,C28,15,2000,2014
SE,C29-C30,15,2000,2014
SE,C31-C33,15,2000,2014
SI,C10-C12,15,2000,2014
SI,C13-C15,15,2000,2014
SI,C16-C18,15,2000,2014
SI,C19,15,2000,2014
SI,C20-C21,15,2000,2014
SI,C22-C23,15,2000,2014
SI,C24-C25,15,2000,2014
SI,C26-C27,15,2000,2014
SI,C28,15,2000,2014
SI,C29-C30,15,2000,2014
SI,C31-C33,15,2000,2014
SK,C10-C12,15,2000,2014
SK,C13-C15,15,2000,2014
SK,C16-C18,15,2000,2014
SK,C19,15,2000,2014
SK,C20-C21,15,2000,2014
SK,C22-C23,15,2000,2014
SK,C24-C25,15,2000,2014
SK,C26-C27,15,2000,2014
SK,C28,15,2000,2014
SK,C29-C30,15,2000,2014
SK,C31-C33,15,2000,2014
