country_code,nace_r2_code,year,gross_exports_usd_m,trade_available
AT,C10-C12,2000,2654.1036441680208,True
AT,C10-C12,2001,3020.0771862804577,True
AT,C10-C12,2002,3400.395410310877,True
AT,C10-C12,2003,4369.269236378421,True
AT,C10-C12,2004,5218.592114238869,True
AT,C10-C12,2005,6310.024142216793,True
AT,C10-C12,2006,6935.319462403437,True
AT,C10-C12,2007,8127.5035646723645,True
AT,C10-C12,2008,9468.190794354818,True
AT,C10-C12,2009,8477.239283282604,True
AT,C10-C12,2010,9737.422980961675,True
AT,C10-C12,2011,11348.796373640242,True
AT,C10-C12,2012,11222.035582012066,True
AT,C10-C12,2013,11737.532928934532,True
AT,C10-C12,2014,12110.382083858573,True
AT,C13-C15,2000,2906.390689857488,True
AT,C13-C15,2001,2954.8503855700355,True
AT,C13-C15,2002,3010.877976370531,True
AT,C13-C15,2003,3435.0240708667156,True
AT,C13-C15,2004,3697.504605907568,True
AT,C13-C15,2005,3981.897880544871,True
AT,C13-C15,2006,4049.4114136593425,True
AT,C13-C15,2007,4361.992372334322,True
AT,C13-C15,2008,4565.257311343578,True
AT,C13-C15,2009,3603.835896146749,True
AT,C13-C15,2010,3700.033739571874,True
AT,C13-C15,2011,4120.793242488727,True
AT,C13-C15,2012,3660.7019105925197,True
AT,C13-C15,2013,3921.6995233822186,True
AT,C13-C15,2014,4000.8505087854887,True
AT,C16-C18,2000,5769.326417726062,True
AT,C16-C18,2001,5796.192415582724,True
AT,C16-C18,2002,6326.366097905606,True
AT,C16-C18,2003,7154.904730048145,True
AT,C16-C18,2004,7988.6125718818,True
AT,C16-C18,2005,8438.523187588045,True
AT,C16-C18,2006,9263.607328413902,True
AT,C16-C18,2007,11133.898456754,True
AT,C16-C18,2008,11581.10531819392,True
AT,C16-C18,2009,9283.072163749272,True
AT,C16-C18,2010,10847.990953996437,True
AT,C16-C18,2011,12063.505010984185,True
AT,C16-C18,2012,10918.536394654813,True
AT,C16-C18,2013,10911.593012799116,True
AT,C16-C18,2014,10841.898383215408,True
AT,C19,2000,751.2101923805708,True
AT,C19,2001,707.4807256914878,True
AT,C19,2002,694.3850923356313,True
AT,C19,2003,840.7633360538694,True
AT,C19,2004,1195.7926256331298,True
AT,C19,2005,2097.0225474567283,True
AT,C19,2006,2141.298810383162,True
AT,C19,2007,2780.2726156304607,True
AT,C19,2008,4068.5989694363234,True
AT,C19,2009,2510.2005190628815,True
AT,C19,2010,3117.0669887475274,True
AT,C19,2011,3763.2913140299124,True
AT,C19,2012,4499.540299724315,True
AT,C19,2013,3893.9905674657903,True
AT,C19,2014,3540.4658989966424,True
AT,C20-C21,2000,3464.291175747368,True
AT,C20-C21,2001,3785.8314914315415,True
AT,C20-C21,2002,4179.016199557802,True
AT,C20-C21,2003,5664.962908753416,True
AT,C20-C21,2004,6046.144477595168,True
AT,C20-C21,2005,7240.098288322854,True
AT,C20-C21,2006,8171.039102352386,True
AT,C20-C21,2007,10234.608480805,True
AT,C20-C21,2008,11017.892837147727,True
AT,C20-C21,2009,11835.541230100393,True
AT,C20-C21,2010,16982.904688192917,True
AT,C20-C21,2011,19033.924927185133,True
AT,C20-C21,2012,18071.47559386592,True
AT,C20-C21,2013,18475.220708448363,True
AT,C20-C21,2014,19523.547381020733,True
AT,C22-C23,2000,3391.6344053464863,True
AT,C22-C23,2001,3576.0981416389623,True
AT,C22-C23,2002,3944.324749430416,True
AT,C22-C23,2003,4654.771046004727,True
AT,C22-C23,2004,5426.362479203588,True
AT,C22-C23,2005,6225.183689245029,True
AT,C22-C23,2006,7132.136143360917,True
AT,C22-C23,2007,8588.794641086872,True
AT,C22-C23,2008,9017.185074638859,True
AT,C22-C23,2009,7043.304739938396,True
AT,C22-C23,2010,7971.834774314158,True
AT,C22-C23,2011,8983.30583522977,True
AT,C22-C23,2012,8204.583394173242,True
AT,C22-C23,2013,8494.483186331658,True
AT,C22-C23,2014,8842.72938516469,True
AT,C24-C25,2000,7680.383281256073,True
AT,C24-C25,2001,7715.779967049199,True
AT,C24-C25,2002,8016.202962013545,True
AT,C24-C25,2003,9681.908399581833,True
AT,C24-C25,2004,11847.216503127198,True
AT,C24-C25,2005,14956.12166394253,True
AT,C24-C25,2006,18143.256753673493,True
AT,C24-C25,2007,22725.589058561916,True
AT,C24-C25,2008,26126.509165705153,True
AT,C24-C25,2009,16839.425058964196,True
AT,C24-C25,2010,20374.54647679324,True
AT,C24-C25,2011,24808.67457138608,True
AT,C24-C25,2012,23225.646497865775,True
AT,C24-C25,2013,22133.365181494497,True
AT,C24-C25,2014,22135.831551759526,True
AT,C26-C27,2000,8228.1592115274,True
AT,C26-C27,2001,8551.25626415874,True
AT,C26-C27,2002,9371.63386440025,True
AT,C26-C27,2003,10462.71328263561,True
AT,C26-C27,2004,12154.190542055047,True
AT,C26-C27,2005,13607.141901601166,True
AT,C26-C27,2006,14972.170556170482,True
AT,C26-C27,2007,16212.118394806192,True
AT,C26-C27,2008,18120.66351720215,True
AT,C26-C27,2009,14637.933397887762,True
AT,C26-C27,2010,15246.098596250682,True
AT,C26-C27,2011,17477.673934000348,True
AT,C26-C27,2012,16281.993888260364,True
AT,C26-C27,2013,16412.861486185677,True
AT,C26-C27,2014,17030.764256725095,True
AT,C28,2000,6638.934878536649,True
AT,C28,2001,7051.460298544971,True
AT,C28,2002,7696.003806940004,True
AT,C28,2003,9113.999107930485,True
AT,C28,2004,10642.876919672755,True
AT,C28,2005,12696.594848843848,True
AT,C28,2006,14995.182408733419,True
AT,C28,2007,19085.273856773867,True
AT,C28,2008,22117.44177353282,True
AT,C28,2009,15754.88038270177,True
AT,C28,2010,18173.39473397009,True
AT,C28,2011,21533.341601185202,True
AT,C28,2012,20868.84655350085,True
AT,C28,2013,21115.820294706547,True
AT,C28,2014,21693.142273841644,True
AT,C29-C30,2000,9043.752539927056,True
AT,C29-C30,2001,9744.35276513365,True
AT,C29-C30,2002,11336.235280128805,True
AT,C29-C30,2003,12859.746969509055,True
AT,C29-C30,2004,17835.879308810956,True
AT,C29-C30,2005,19431.714721662545,True
AT,C29-C30,2006,21097.78617255007,True
AT,C29-C30,2007,23401.63083734096,True
AT,C29-C30,2008,23179.36861703796,True
AT,C29-C30,2009,15300.96149621482,True
AT,C29-C30,2010,16682.973050131848,True
AT,C29-C30,2011,20016.90881203593,True
AT,C29-C30,2012,19104.213046798093,True
AT,C29-C30,2013,20769.581865262007,True
AT,C29-C30,2014,20640.288178754527,True
AT,C31-C33,2000,2452.755122380884,True
AT,C31-C33,2001,2690.434539868526,True
AT,C31-C33,2002,2976.1871511364366,True
AT,C31-C33,2003,3548.056907706963,True
AT,C31-C33,2004,3973.020221836071,True
AT,C31-C33,2005,4455.021166892722,True
AT,C31-C33,2006,4737.507416937793,True
AT,C31-C33,2007,5722.162729170832,True
AT,C31-C33,2008,6836.7621461374065,True
AT,C31-C33,2009,6140.86500222698,True
AT,C31-C33,2010,7308.203871673142,True
AT,C31-C33,2011,8837.301511709178,True
AT,C31-C33,2012,7813.716254280376,True
AT,C31-C33,2013,8226.25839462014,True
AT,C31-C33,2014,8022.734335602933,True
BE,C10-C12,2000,11823.974744175124,True
BE,C10-C12,2001,12110.907436638883,True
BE,C10-C12,2002,12654.664377689947,True
BE,C10-C12,2003,15211.86468997729,True
BE,C10-C12,2004,17578.814483834758,True
BE,C10-C12,2005,18284.055322364933,True
BE,C10-C12,2006,19534.582816592505,True
BE,C10-C12,2007,23403.880740529945,True
BE,C10-C12,2008,27541.853984093068,True
BE,C10-C12,2009,25282.972513137618,True
BE,C10-C12,2010,24545.2788872478,True
BE,C10-C12,2011,28840.713565435235,True
BE,C10-C12,2012,27662.34072020151,True
BE,C10-C12,2013,29158.147320183878,True
BE,C10-C12,2014,31009.094629829415,True
BE,C13-C15,2000,6978.339460878897,True
BE,C13-C15,2001,6775.44346810249,True
BE,C13-C15,2002,7213.42832117172,True
BE,C13-C15,2003,8225.682427705327,True
BE,C13-C15,2004,9160.41273314306,True
BE,C13-C15,2005,8073.91651050271,True
BE,C13-C15,2006,8667.437392744687,True
BE,C13-C15,2007,9639.517558107786,True
