display_order,row_group,row_type,row_key,row_label,"Eq. 1 (log robot stock, incl. CH)","Eq. 2 coord (log robot stock, incl. CH)"
1,coefficients,coef,ln_robot_stock_lag1,Log robot stock (lagged),0.0130*,0.0076
2,coefficients,se,ln_robot_stock_lag1_se,,(0.0067),(0.0073)
3,coefficients,coef,ln_robot_stock_lag1_coord,Log robot stock x bargaining coordination,,0.0149*
4,coefficients,se,ln_robot_stock_lag1_coord_se,,,(0.0052)
5,coefficients,coef,ln_va,Log value added,0.1393,0.1355
6,coefficients,se,ln_va_se,,(0.0280),(0.0275)
7,coefficients,coef,capital,Log capital,0.2410,0.2809
8,coefficients,se,capital_se,,(0.0711),(0.0707)
9,coefficients,coef,gdp_growth,GDP growth,0.2417,0.2158
10,coefficients,se,gdp_growth_se,,(0.2120),(0.2264)
11,stats,stat,country_industry_fe,Country-industry FE,Yes,Yes
12,stats,stat,year_fe,Year FE,Yes,Yes
13,stats,stat,observations,Observations,2712,2641
14,stats,stat,entities,Entities,272,262
15,stats,stat,countries,Countries,27,26
16,stats,stat,r_squared,R-squared,0.997,0.997
