occupation_code,automation_probability
1,0.015
2,0.069
3,0.006
4,0.023
5,0.006
6,0.007
7,0.81
8,0.2
9,0.25
10,0.94
11,0.99
12,0.33
13,0.13
14,0.31
15,0.87
16,0.29
17,0.03
18,0.24
19,0.63
20,0.08
21,0.018
22,0.017
23,0.021
24,0.15
25,0.017
26,0.019
27,0.1
28,0.029
29,0.011
30,0.014
31,0.011
32,0.035
33,0.21
34,0.134
35,0.071
36,0.1
37,0.67
38,0.63
39,0.43
40,0.053
41,0.113
42,0.012
43,0.005
44,0.004
45,0.004
46,0.038
47,0.14
48,0.005
49,0.009
50,0.012
51,0.004
52,0.066
53,0.004
54,0.021
55,0.006
56,0.3
57,0.15
58,0.17
59,0.008
60,0.012
61,0.01
62,0.134
63,0.65
64,0.383
65,0.33
66,0.007
67,0.059
68,0.13
69,0.012
70,0.008
71,0.028
72,0.218
73,0.038
74,0.89
75,0.042
76,0.045
77,0.196
78,0.039
79,0.021
80,0.13
81,0.083
82,0.72
83,0.147
84,0.685
85,0.68
86,0.91
87,0.23
88,0.058
89,0.4
90,0.24
91,0.67
92,0.63
93,0.3
94,0.57
95,0.61
96,0.18
97,0.11
98,0.74
99,0.086
100,0.36
101,0.94
102,0.178
103,0.92
104,0.86
105,0.016
106,0.54
107,0.004
108,0.92
109,0.97
110,0.94
111,0.745
112,0.014
113,0.78
114,0.903
115,0.81
116,0.94
117,0.94
118,0.61
119,0.96
120,0.86
121,0.9
122,0.95
123,0.97
124,0.98
125,0.97
126,0.95
127,0.94
128,0.92
129,0.97
130,0.95
131,0.68
132,0.94
133,0.94
134,0.96
135,0.98
136,0.64
137,0.85
138,0.95
139,0.88
140,0.98
141,0.55
142,0.7
143,0.95
144,0.96
145,0.98
146,0.84
147,0.99
148,0.66
149,0.56
150,0.675
151,0.71
152,0.325
153,0.098
154,0.48
155,0.49
156,0.84
157,0.67
158,0.77
159,0.94
160,0.768
161,0.87
162,0.895
163,0.51
164,0.39
165,0.94
166,0.57
167,0.95
168,0.66
169,0.66
170,0.8
171,0.11
172,0.006
173,0.484
174,0.96
175,0.52
176,0.046
177,0.97
178,0.084
179,0.076
180,0.825
181,0.82
182,0.003
183,0.59
184,0.73
185,0.71
186,0.93
187,0.91
188,0.575
189,0.86
190,0.86
191,0.41
192,0.74
193,0.72
194,0.425
195,0.65
196,0.65
197,0.785
198,0.77
199,0.63
200,0.39
201,0.59
202,0.5
203,0.17
204,0.847
205,0.72
206,0.79
207,0.15
208,0.097
209,0.75
210,0.87
211,0.84
212,0.35
213,0.94
214,0.73
215,0.735
216,0.83
217,0.9
218,0.83
219,0.85
220,0.71
221,0.53
222,0.48
223,0.565
224,0.93
225,0.016
226,0.84
227,0.91
228,0.68
229,0.915
230,0.98
231,0.92
232,0.87
233,0.84
234,0.39
235,0.9
236,0.95
237,0.93
238,0.89
239,0.7
240,0.61
241,0.85
242,0.87
243,0.86
244,0.84
245,0.83
246,0.94
247,0.95
248,0.95
249,0.91
250,0.86
251,0.96
252,0.96
253,0.73
254,0.96
255,0.89
256,0.97
257,0.81
258,0.98
259,0.93
260,0.83
261,0.88
262,0.91
263,0.81
264,0.67
265,0.37
266,0.86
267,0.99
268,0.94
269,0.95
270,0.92
271,0.029
272,0.74
273,0.78
274,0.89
275,0.87
276,0.83
277,0.945
278,0.83
279,0.01
280,0.95
281,0.823
282,0.94
283,0.787
284,0.88
285,0.66
286,0.93
287,0.93
288,0.91
289,0.37
290,0.38
291,0.85
