"PB010","PB020","PB030","PB040","PB060","PB100","PB110","PB120","PB130","PB140","PB150","PB190","PB200","PB220A","PE010","PE020","PE040","PL030","PL035","PL015","PL020","PL025","PL040","PL050","PL060","PL070","PL072","PL100","PL110","PL120","PL130","PL140","PL150","PL160","PL170","PL180","PL190","PL210A","PL210B","PL210C","PL210D","PL210E","PL210F","PL210G","PL210H","PL210I","PL210J","PL210K","PL210L","PH010","PH020","PH030","PH040","PH050","PH060","PH070","PY020N","PY035N","PY070N","PY010G","PY020G","PY035G","PY050G","PY070G","PY080G","PY090G","PY100G","PY110G","PY120G","PY130G","PY140G","PY200G","PX030","PX040","PX020","PX050","PX010"
"2004","SE",371,787.521440823328,"1342.3","4","2004","90","1",1923,"2","4","1","SE","1","NA","3","5","NA","1","2","NA","1",,"NA","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3","2","NA","2","NA","2","NA",0,0,0,3389,0,0,-176,0,864,0,5558,0,0,0,0,1,37,"3",80,"3","9.1242"
"2004","SE",471,787.521440823328,"1166.1","3","2004","90","2",1940,"2","2","1","SE","2","NA","5","5","NA","1","2","NA","3",,"40","12","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","1","3","NA","NA","2","1",0,0,0,0,0,263,0,0,0,0,10922,0,0,0,0,1,47,"3",63,"1","9.1242"
"2004","SE",621,787.521440823328,"1317.3","4","2004","60","3",1937,"2","3","2","SE","2","NA","5","5","NA","NA","2","NA","NA","2","NA","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","3","2","NA","NA","NA",570,0,0,0,0,0,0,0,17,0,845,0,0,0,0,1,62,"2",66,"1","9.1242"
"2004","SE",731,787.521440823328,"NA","3","2004","70","2",1954,"2","2","2","SE","2","NA","5","2","NA","NA","NA","NA","NA","5","NA","1","0","NA","g","NA","13","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3","1","3","2","NA","2","NA",0,0,0,14067,0,132,0,0,0,0,420,0,1851,1618,0,1,73,"3",49,"3","9.1242"
"2004","SE",841,787.521440823328,"NA","4","2004","90","2",1978,"1","1","1","SE","2","NA","4","4","NA","NA","2","NA","3",,"38","12","0","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","2","2","2","NA","2","NA",0,0,0,16339,0,0,0,0,0,0,0,0,0,0,8450,1,84,"3",25,"3","9.1242"
"2004","SE",921,787.521440823328,"1563.7","2","2004","70","3",1937,"1","2","1","SE","2","NA","4","5","NA","NA","NA","NA","3","2","NA","0","12","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","2","NA","2","NA","1","NA",0,0,0,0,0,0,0,0,0,0,23738,0,0,0,0,1,92,"2",66,"1","9.1242"
"2004","SE",1071,787.521440823328,"1186.3","3","2004","65","1",1979,"1","1","3","SE","2","NA","4","4","NA","NA","2","NA","NA",,"NA","0","0","NA","NA","3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3","NA","NA","2","NA","2","NA",0,299,0,11246,0,1315,0,0,0,0,0,0,0,0,0,1,107,"2",24,"3","9.1242"
"2004","SE",1121,787.521440823328,"1250.7","1","2004","42","3",1979,"1","1","3","SE","2","NA","3","1","NA","NA","NA","NA","3","7","40","12","0","NA","k","NA","NA","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","NA",0,0,0,21865,0,0,128,0,0,4865,0,0,0,0,0,1,112,"3",24,"1","9.1242"
"2004","SE",1261,787.521440823328,"1186.3","2","2004","47","2",1951,"1","2","1","SE","2","NA","5","1","NA","1","NA","NA","3","3","40","12","0","NA","NA","NA","13","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","2","3","NA","NA","NA","NA",0,275,0,0,0,0,74609,0,0,0,0,0,0,0,0,1,126,"2",52,"1","9.1242"
"2004","SE",1321,787.521440823328,"NA","4","2004","90","2",1971,"1","1","1","SE","2","NA","3","1","NA","NA","NA","NA","3","3","NA","12","12","NA","k","NA","13","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","NA",72,526,0,34343,8425,0,0,0,0,0,0,0,0,0,0,1,132,"2",32,"3","9.1242"
