"RB010","RB020","RB030","RB050","RB070","RB080","RB090","RB200","RB210","RB245","RB250","RB260","RX030","rl010","rl010_f","rl020","rl020_f","rl030","rl030_f","rl040","rl040_f","rl050","rl050_f","rl060","rl060_f","rl070","rl070_f","RX020","RX010"
"2004","SE",371,787.521440823328,"3",1923,"2","1","1","2","NA","3",37,,,,,,,,,,,,,,,80,80
"2004","SE",471,787.521440823328,"1",1940,"2","1","1","4","13","3",47,,,,,,,,,,,,,,,63,64
"2004","SE",621,787.521440823328,"4",1937,"2","1","1","3","13","1",62,,,,,,,,,,,,,,,66,66
"2004","SE",731,787.521440823328,"4",1954,"2","1","1","2","13","NA",73,,,,,,,,,,,,,,,49,50
"2004","SE",841,787.521440823328,"1",1978,"1","1","1","2","13","1",84,,,,,,,,,,,,,,,25,26
"2004","SE",921,787.521440823328,"1",1937,"1","1","1","2","13","1",92,,,,,,,,,,,,,,,66,67
"2004","SE",1071,787.521440823328,"1",1979,"1","1","1","4","NA","NA",107,,,,,,,,,,,,,,,24,24
"2004","SE",1121,787.521440823328,"1",1979,"1","1","3","2","13","1",112,,,,,,,,,,,,,,,24,25
"2004","SE",1261,787.521440823328,"2",1951,"1","1","4","3","13","1",126,,,,,,,,,,,,,,,52,53
"2004","SE",1321,787.521440823328,"1",1971,"1","1","1","2","13","NA",132,,,,,,,,,,,,,,,32,33
"2004","SE",1351,787.521440823328,"4",1979,"1","1","1","4","NA","1",135,,,,,,,,,,,,,,,24,25
"2004","SE",1441,787.521440823328,"4",1923,"2","1","4","2","NA","3",144,,,,,,,,,,,,,,,80,80
"2004","SE",1521,787.521440823328,"3",1966,"1","1","1","2","13","1",152,,,,,,,,,,,,,,,37,38
"2004","SE",1931,787.521440823328,"3",1942,"1","1","4","2","13","3",193,,,,,,,,,,,,,,,61,61
"2004","SE",1981,787.521440823328,"2",1934,"2","1","1","2","NA","3",198,,,,,,,,,,,,,,,69,69
"2004","SE",1991,787.521440823328,"3",1983,"2","1","1","2","13","3",199,,,,,,,,,,,,,,,20,21
"2004","SE",2441,787.521440823328,"4",1956,"2","1","3","2","13","1",244,,,,,,,,,,,,,,,47,48
"2004","SE",2561,787.521440823328,"3",1974,"2","1","4","2","13","3",256,,,,,,,,,,,,,,,29,30
"2004","SE",2691,787.521440823328,"1",1923,"1","1","3","2","13","1",269,,,,,,,,,,,,,,,80,80
"2004","SE",2711,787.521440823328,"3",1956,"1","1","3","3","13","1",271,,,,,,,,,,,,,,,47,48
"2004","SE",3071,787.521440823328,"2",1956,"2","1","3","2","NA","1",307,,,,,,,,,,,,,,,47,48
"2004","SE",3301,787.521440823328,"3",1938,"2","1","1","3","13","3",330,,,,,,,,,,,,,,,65,66
"2004","SE",3631,787.521440823328,"1",1976,"1","1","4","2","13","1",363,,,,,,,,,,,,,,,27,28
"2004","SE",3791,787.521440823328,"2",1982,"1","1","1","2","13","3",379,,,,,,,,,,,,,,,21,22
"2004","SE",3821,787.521440823328,"1",1965,"1","1","1","4","13","3",382,,,,,,,,,,,,,,,38,38
"2004","SE",3851,787.521440823328,"1",1936,"2","1","4","2","13","3",385,,,,,,,,,,,,,,,67,68
"2004","SE",4161,787.521440823328,"2",1966,"1","1","3","2","13","1",416,,,,,,,,,,,,,,,37,37
"2004","SE",4181,787.521440823328,"2",1923,"2","1","1","3","13","3",418,,,,,,,,,,,,,,,80,80
"2004","SE",4731,787.521440823328,"4",1983,"1","1","4","3","13","3",473,,,,,,,,,,,,,,,20,21
"2004","SE",5051,787.521440823328,"2",1924,"1","1","1","2","13","1",505,,,,,,,,,,,,,,,79,80
"2004","SE",5191,787.521440823328,"1",1973,"2","1","2","4","NA","1",519,,,,,,,,,,,,,,,30,31
"2004","SE",5301,787.521440823328,"4",1977,"2","1","4","2","13","1",530,,,,,,,,,,,,,,,26,26
"2004","SE",5391,787.521440823328,"1",1975,"1","1","1","2","13","1",539,,,,,,,,,,,,,,,28,28
"2004","SE",5401,787.521440823328,"4",1966,"1","1","1","2","13","1",540,,,,,,,,,,,,,,,37,37
"2004","SE",5911,787.521440823328,"1",1977,"2","1","4","3","13","1",591,,,,,,,,,,,,,,,26,26
"2004","SE",6001,787.521440823328,"3",1953,"1","1","4","2","13","3",600,,,,,,,,,,,,,,,50,50
"2004","SE",6051,787.521440823328,"1",1946,"2","1","4","2","13","1",605,,,,,,,,,,,,,,,57,57
"2004","SE",6231,787.521440823328,"2",1982,"2","1","4","3","13","1",623,,,,,,,,,,,,,,,21,22
"2004","SE",6331,787.521440823328,"3",1959,"1","1","1","3","13","1",633,,,,,,,,,,,,,,,44,45
"2004","SE",6411,787.521440823328,"3",1958,"1","1","3","2","13","1",641,,,,,,,,,,,,,,,45,45
"2004","SE",6541,787.521440823328,"1",1936,"2","1","1","2","13","1",654,,,,,,,,,,,,,,,67,67
"2004","SE",6891,787.521440823328,"2",1944,"2","1","1","2","13","1",689,,,,,,,,,,,,,,,59,59
"2004","SE",6981,787.521440823328,"2",1954,"2","1","4","2","NA","1",698,,,,,,,,,,,,,,,49,50
"2004","SE",6991,787.521440823328,"3",1975,"1","1","1","2","13","3",699,,,,,,,,,,,,,,,28,29
"2004","SE",7031,787.521440823328,"1",1925,"1","1","1","2","13","1",703,,,,,,,,,,,,,,,78,79
"2004","SE",7091,787.521440823328,"2",1968,"1","1","1","2","13","1",709,,,,,,,,,,,,,,,35,35
"2004","SE",7121,787.521440823328,"4",1942,"2","1","1","2","13","1",712,,,,,,,,,,,,,,,61,62
"2004","SE",7531,787.521440823328,"2",1968,"1","1","1","2","13","1",753,,,,,,,,,,,,,,,35,36
"2004","SE",7751,787.521440823328,"3",1972,"1","1","4","2","13","1",775,,,,,,,,,,,,,,,31,31
"2004","SE",8701,787.521440823328,"1",1930,"1","1","4","2","13","3",870,,,,,,,,,,,,,,,73,74
"2004","SE",8891,787.521440823328,"3",1932,"2","1","3","2","13","1",889,,,,,,,,,,,,,,,71,71
"2004","SE",9031,787.521440823328,"2",1923,"2","1","4","3","13","1",903,,,,,,,,,,,,,,,80,80
"2004","SE",9081,787.521440823328,"4",1970,"1","1","4","4","13","1",908,,,,,,,,,,,,,,,33,33
"2004","SE",9201,787.521440823328,"4",1981,"1","1","4","2","NA","3",920,,,,,,,,,,,,,,,22,22
"2004","SE",9261,787.521440823328,"1",1926,"2","1","1","3","13","1",926,,,,,,,,,,,,,,,77,77
"2004","SE",9691,787.521440823328,"1",1950,"2","1","1","4","13","1",969,,,,,,,,,,,,,,,53,54
"2004","SE",9911,787.521440823328,"2",1949,"2","1","3","2","13","1",991,,,,,,,,,,,,,,,54,55
"2004","SE",10121,787.521440823328,"3",1961,"1","1","4","4","13","NA",1012,,,,,,,,,,,,,,,42,43
"2004","SE",10151,787.521440823328,"3",1973,"2","1","NA","4","13","1",1015,,,,,,,,,,,,,,,30,31
"2004","SE",10171,787.521440823328,"2",1965,"1","1","1","3","13","1",1017,,,,,,,,,,,,,,,38,39
"2004","SE",10211,787.521440823328,"1",1954,"1","1","1","2","13","3",1021,,,,,,,,,,,,,,,49,50
"2004","SE",10641,787.521440823328,"3",1932,"2","1","3","2","NA","1",1064,,,,,,,,,,,,,,,71,71
"2004","SE",10911,787.521440823328,"2",1932,"2","1","4","2","13","1",1091,,,,,,,,,,,,,,,71,72
"2004","SE",10931,787.521440823328,"3",1976,"2","1","3","3","NA","1",1093,,,,,,,,,,,,,,,27,27
"2004","SE",11321,787.521440823328,"2",1981,"2","1","3","4","13","1",1132,,,,,,,,,,,,,,,22,23
"2004","SE",11381,787.521440823328,"4",1974,"1","1","1","2","13","1",1138,,,,,,,,,,,,,,,29,29
"2004","SE",11431,787.521440823328,"4",1962,"1","1","4","2","13","1",1143,,,,,,,,,,,,,,,41,42
"2004","SE",11601,787.521440823328,"3",1935,"2","1","4","2","13","1",1160,,,,,,,,,,,,,,,68,69
"2004","SE",11981,787.521440823328,"4",1924,"2","1","1","2","13","1",1198,,,,,,,,,,,,,,,79,80
"2004","SE",12261,787.521440823328,"4",1928,"2","1","4","2","NA","1",1226,,,,,,,,,,,,,,,75,76
"2004","SE",12271,787.521440823328,"4",1930,"1","1","4","3","13","1",1227,,,,,,,,,,,,,,,73,74
"2004","SE",12781,787.521440823328,"4",1936,"2","1","1","2","NA","1",1278,,,,,,,,,,,,,,,67,68
"2004","SE",12821,787.521440823328,"3",1973,"2","1","4","4","13","NA",1282,,,,,,,,,,,,,,,30,31
"2004","SE",12881,787.521440823328,"4",1923,"2","1","1","3","13","1",1288,,,,,,,,,,,,,,,80,80
"2004","SE",13211,787.521440823328,"4",1948,"1","1","1","2","13","1",1321,,,,,,,,,,,,,,,55,55
"2004","SE",13931,787.521440823328,"3",1923,"2","1","1","2","13","3",1393,,,,,,,,,,,,,,,80,80
"2004","SE",14081,787.521440823328,"1",1932,"2","1","1","2","13","1",1408,,,,,,,,,,,,,,,71,71
"2004","SE",14091,787.521440823328,"2",1954,"2","1","1","3","13","1",1409,,,,,,,,,,,,,,,49,50
"2004","SE",14101,787.521440823328,"4",1926,"2","1","2","2","13","NA",1410,,,,,,,,,,,,,,,77,77
"2004","SE",14201,787.521440823328,"2",1925,"1","1","3","3","13","1",1420,,,,,,,,,,,,,,,78,79
"2004","SE",14591,787.521440823328,"3",1963,"1","1","1","3","13","1",1459,,,,,,,,,,,,,,,40,41
"2004","SE",14651,787.521440823328,"1",1931,"2","1","4","2","NA","3",1465,,,,,,,,,,,,,,,72,72
"2004","SE",14721,787.521440823328,"4",1950,"2","1","4","4","13","3",1472,,,,,,,,,,,,,,,53,54
"2004","SE",14741,787.521440823328,"1",1970,"2","1","1","4","13","1",1474,,,,,,,,,,,,,,,33,33
"2004","SE",15431,787.521440823328,"1",1923,"2","1","1","2","13","NA",1543,,,,,,,,,,,,,,,80,80
"2004","SE",15451,787.521440823328,"3",1943,"2","1","1","4","NA","1",1545,,,,,,,,,,,,,,,60,61
"2004","SE",15661,787.521440823328,"1",1977,"2","1","4","2","13","1",1566,,,,,,,,,,,,,,,26,26
"2004","SE",15711,787.521440823328,"4",1971,"1","1","1","3","NA","1",1571,,,,,,,,,,,,,,,32,33
"2004","SE",15731,787.521440823328,"1",1982,"2","1","4","2","13","3",1573,,,,,,,,,,,,,,,21,22
"2004","SE",15941,787.521440823328,"2",1981,"2","1","4","4","13","1",1594,,,,,,,,,,,,,,,22,23
"2004","SE",16001,787.521440823328,"1",1932,"2","1","4","3","NA","NA",1600,,,,,,,,,,,,,,,71,72
"2004","SE",16121,787.521440823328,"2",1934,"2","1","3","2","13","1",1612,,,,,,,,,,,,,,,69,70
"2004","SE",16201,787.521440823328,"4",1942,"2","1","1","2","13","NA",1620,,,,,,,,,,,,,,,61,62
"2004","SE",16211,787.521440823328,"1",1932,"2","1","3","3","13","3",1621,,,,,,,,,,,,,,,71,71
"2004","SE",16551,787.521440823328,"3",1959,"2","1","2","2","13","1",1655,,,,,,,,,,,,,,,44,44
"2004","SE",16771,787.521440823328,"1",1956,"1","1","1","4","13","1",1677,,,,,,,,,,,,,,,47,48
"2004","SE",16871,787.521440823328,"2",1970,"1","1","4","2","13","5",1687,,,,,,,,,,,,,,,33,33
"2004","SE",16881,787.521440823328,"4",1976,"1","1","1","3","13","3",1688,,,,,,,,,,,,,,,27,28
"2004","SE",16891,787.521440823328,"1",1942,"2","1","1","2","13","1",1689,,,,,,,,,,,,,,,61,62
"2004","SE",16971,787.521440823328,"2",1923,"2","1","3","2","13","3",1697,,,,,,,,,,,,,,,80,80
"2004","SE",17271,787.521440823328,"1",1935,"2","1","4","3","13","3",1727,,,,,,,,,,,,,,,68,68
"2004","SE",17541,787.521440823328,"4",1924,"2","1","1","2","13","1",1754,,,,,,,,,,,,,,,79,79
"2004","SE",17681,787.521440823328,"1",1941,"1","1","1","2","13","1",1768,,,,,,,,,,,,,,,62,62
"2004","SE",17761,787.521440823328,"1",1968,"1","1","4","2","13","1",1776,,,,,,,,,,,,,,,35,35
"2004","SE",17781,787.521440823328,"2",1982,"1","1","NA","4","13","1",1778,,,,,,,,,,,,,,,21,21
