"HB010","HB020","HB030","HB050","HB060","HB100","HY010","HY020","HY022","HY023","HY025","HY030N","HY100N","HY145N","HY030G","HY040G","HY050G","HY060G","HY070G","HY080G","HY090G","HY100G","HY110G","HY120G","HY130G","HY140G","HS010","HS020","HS030","HS040","HS050","HS060","HS070","HS080","HS090","HS100","HS110","HS120","HS130","HS140","HS150","HS160","HS170","HS180","HS190","HH010","HH020","HH030","HH040","HH050","HH060","HH061","HH070","HH080","HH090","HX040","HX050","HX090","HX080","HX060","HX070","HX020","HX010"
"2005","SE",36,"4","2005","60",7242,6771,0,0,,,,,,0,0,0,0,0,304,,0,0,0,470,"1","2","NA","1","1","1","1","1","1","1","1","4","NA","3","NA","2","2","2","2","1","1","2","2","1","NA","NA","486.39","1","1","1",1,,,,,,
"2005","SE",46,"4","2005","60",28478,22794,0,0,,,,,,0,0,0,0,0,94,,0,0,0,5684,"2","2","2","1","1","1","1","1","1","1","2","3","2520.74","3","NA","2","2","2","2","1","2","4","2","1","688.27","NA","962.92","1","1","1",1,,,,,,
"2005","SE",61,"2","2005","60",27953,20113,0,0,,,,,,0,0,0,0,0,60,,0,0,0,7839,"2","NA","NA","1","1","1","1","1","3","3","1","3","NA","3","NA","2","2","1","2","4","2","2","2","1","NA","NA","434.23","1","1","1",1,,,,,,
"2005","SE",72,"3","2005","NA",69326,26099,0,0,,,,,,0,0,0,0,0,836,,0,0,0,43227,"2","2","2","2","1","1","1","1","1","2","1","2","NA","1","2","2","2","2","2","4","1","4","2","1","740","NA","568.59","1","1","1",1,,,,,,
"2005","SE",82,"3","2005","90",16997,13476,0,0,,,,,,0,0,0,0,0,991,,0,0,0,3520,"2","2","2","2","1","1","1","1","2","1","1","3","NA","3","NA","2","2","2","2","1","1","4","2","1","NA","NA","789.98","1","1","1",1,,,,,,
"2005","SE",90,"4","2005","65",4105,665,0,0,,,,,,0,0,0,0,0,0,,0,0,0,3440,"2","2","2","1","1","2","1","1","1","1","1","3","NA","1","NA","2","1","2","2","2","2","6","2","1","NA","NA","470.06","1","1","1",1,,,,,,
"2005","SE",104,"1","2005","60",68829,53583,0,0,,,,,,0,0,0,0,0,0,,0,0,0,15246,"2","2","2","1","1","2","1","1","3","1","1","3","2191.95","2","3","2","2","2","2","4","1","5","2","1","NA","NA","253.28","1","1","1",1,,,,,,
"2005","SE",109,"2","2005","60",11472,3451,0,0,,,,,,0,0,0,0,0,134,,0,0,0,8021,"2","2","NA","1","1","1","1","1","3","1","3","6","NA","3","2","2","2","2","2","2","1","6","2","1","672.71","NA","564.65","1","1","1",1,,,,,,
"2005","SE",123,"2","2005","50",13052,5226,0,0,,,,,,0,5050,0,2017,0,0,,0,759,0,7066,"2","2","2","1","1","1","1","1","1","1","1","6","NA","2","1","2","2","2","2","1","1","3","2","1","471.27","NA","570.78","1","1","1",1,,,,,,
"2005","SE",129,"4","2005","45",9771,9322,0,0,,,,,,0,0,0,1432,0,0,,0,0,0,449,"2","2","NA","2","1","1","1","1","3","1","1","4","NA","3","1","2","2","2","NA","4","1","3","2","1","NA","NA","329.67","1","1","1",1,,,,,,
"2005","SE",132,"2","2005","75",1110,627,0,0,,,,,,0,0,0,0,0,0,,0,37,0,446,"2","2","NA","1","1","1","1","1","3","3","3","2","767.18","3","NA","2","2","2","2","1","1","5","2","1","NA","NA","432.91","1","1","1",1,,,,,,
"2005","SE",140,"3","2005","90",13782,12684,0,0,,,,,,0,0,0,0,0,15,,0,231,0,867,"2","2","NA","1","1","2","1","1","2","1","1","4","1643.96","3","NA","2","2","2","2","4","1","5","2","1","NA","NA","570.78","1","1","1",1,,,,,,
"2005","SE",149,"1","2005","65",10551,9498,0,0,,,,,,0,0,0,0,0,0,,0,0,0,1053,"2","2","NA","1","1","1","1","1","1","3","2","5","1972.75","2","2","2","2","2","2","4","1","5","2","1","NA","NA","728.93","1","1","1",1,,,,,,
"2005","SE",188,"4","2005","35",1,-4051,0,0,,,,,,0,0,0,0,0,1,,0,701,0,3350,"2","2","2","2","1","1","1","1","1","1","3","6","1479.57","3","NA","2","2","2","2","2","1","4","2","1","NA","NA","306.54","1","1","1",1,,,,,,
"2005","SE",193,"3","2005","65",27177,21195,0,0,,,,,,0,0,0,4577,0,27,,0,291,0,5692,"2","2","NA","1","1","2","1","1","1","1","1","5","NA","1","2","1","2","2","2","3","1","4","2","1","NA","NA","597.42","1","1","1",1,,,,,,
"2005","SE",194,"4","2005","60",16429,13046,0,0,,,,,,0,0,0,0,0,680,,0,0,0,3382,"2","2","NA","2","1","1","1","1","3","3","1","2","NA","3","NA","2","2","2","2","1","2","4","2","1","NA","NA","833.05","1","1","1",1,,,,,,
"2005","SE",238,"4","2005","50",33136,17676,0,0,,,,,,0,0,0,0,0,4148,,0,1447,0,14012,"NA","2","NA","1","1","1","1","1","1","1","1","4","NA","3","3","2","2","2","1","2","1","4","2","1","NA","NA","753.26","1","1","1",1,,,,,,
"2005","SE",249,"3","2005","60",23898,16633,0,0,,,,,,0,0,0,1412,0,0,,0,0,0,7265,"1","1","2","1","1","1","1","1","1","1","1","5","3287.92","3","NA","2","2","2","2","4","1","3","2","1","NA","NA","754.14","1","1","1",1,,,,,,
"2005","SE",263,"4","2005","60",29957,29564,0,0,,,,,,0,1183,0,0,0,0,,0,0,0,394,"2","2","NA","1","1","1","1","3","3","1","1","4","1095.97","2","3","2","2","2","2","4","2","2","2","1","NA","NA","362","1","1","1",1,,,,,,
"2005","SE",264,"3","2005","65",-28132,-43111,0,0,,,,,,0,0,0,0,0,0,,0,628,0,14350,"2","2","2","1","1","1","1","1","1","1","3","3","876.78","3","1","2","2","2","2","2","1","6","2","1","NA","NA","270.71","1","1","1",1,,,,,,
"2005","SE",299,"4","2005","45",16340,9868,0,0,,,,,,0,0,0,0,0,0,,0,775,0,5697,"2","2","2","1","1","1","1","1","1","1","1","5","2191.95","3","NA","2","2","2","2","1","1","4","2","1","NA","NA","482.78","1","1","1",1,,,,,,
"2005","SE",321,"4","2005","65",65313,60175,0,0,,,,,,0,447,0,0,0,0,,0,0,0,5138,"2","1","NA","1","1","1","1","1","1","NA","3","3","NA","1","3","2","2","2","2","4","2","2","2","1","NA","NA","384.47","1","1","1",1,,,,,,
"2005","SE",354,"3","2005","NA",18928,15839,0,0,,,,,,0,0,0,5302,0,21,,0,0,0,3088,"2","2","1","1","1","1","1","1","1","3","1","1","NA","3","NA","2","2","2","2","1","2","5","2","1","624.71","NA","8573.59","1","1","1",1,,,,,,
"2005","SE",367,"4","2005","60",23633,19863,0,0,,,,,,0,0,0,0,0,0,,0,0,0,3770,"2","2","2","1","1","1","1","1","1","1","1","6","1643.96","2","NA","2","1","2","2","1","1","6","2","1","NA","NA","461.84","1","1","1",1,,,,,,
"2005","SE",369,"3","2005","70",30365,22764,0,0,,,,,,0,0,0,0,0,217,,0,1316,0,6285,"1","2","NA","1","1","1","1","1","3","2","1","1","NA","2","2","2","2","2","2","4","1","5","2","1","NA","NA","430.06","1","1","1",1,,,,,,
"2005","SE",372,"1","2005","40",23549,12241,0,0,,,,,,0,0,0,0,0,0,,0,0,0,11308,"2","2","2","2","1","1","1","1","1","1","1","5","1315.17","2","3","2","2","2","2","1","1","4","1","1","679.5","NA","754.14","1","1","1",1,,,,,,
"2005","SE",375,"4","2005","NA",2989,2920,0,0,,,,,,0,0,0,0,0,6,,0,0,0,69,"2","2","NA","1","1","1","1","3","3","2","1","4","NA","2","NA","2","2","1","2","4","1","1","2","1","NA","NA","247.25","1","1","1",1,,,,,,
"2005","SE",406,"3","2005","NA",788,-1248,0,0,,,,,,0,0,0,0,0,0,,0,197,0,1838,"2","2","NA","1","1","1","1","1","1","1","1","5","NA","3","3","2","2","2","2","1","1","2","2","1","657.58","NA","834.47","1","1","1",1,,,,,,
"2005","SE",408,"1","2005","70",13760,9617,0,0,,,,,,0,0,0,0,0,0,,0,429,0,3714,"2","2","NA","1","1","1","1","1","1","1","1","6","NA","1","NA","2","2","2","2","2","1","6","2","1","NA","NA","594.89","1","1","1",1,,,,,,
"2005","SE",410,"3","2005","80",22766,19878,0,0,,,,,,0,0,0,0,0,14,,0,0,0,2888,"2","2","2","1","1","1","1","1","3","1","1","6","712.38","2","NA","2","2","2","2","1","1","1","2","1","NA","NA","156.83","1","1","1",1,,,,,,
"2005","SE",462,"2","2005","NA",4137,3420,0,0,,,,,,0,0,0,0,0,63,,0,73,0,644,"2","2","NA","1","1","1","3","1","3","3","2","5","821.98","2","NA","2","2","2","2","1","1","3","2","1","NA","NA","NA","1","1","1",1,,,,,,
"2005","SE",493,"3","2005","90",38159,36028,0,0,,,,,,0,0,0,0,0,0,,0,152,0,1979,"NA","NA","2","1","2","2","1","1","1","1","2","1","2411.14","3","NA","2","2","2","2","2","1","5","2","1","NA","NA","497.68","1","1","1",1,,,,,,
"2005","SE",505,"3","2005","55",24950,15441,0,0,,,,,,0,0,0,0,0,204,,0,0,0,9509,"2","2","NA","1","1","1","1","1","1","1","1","6","1315.17","3","NA","2","2","1","2","1","1","6","2","1","NA","NA","1774.27","1","1","1",1,,,,,,
"2005","SE",516,"4","2005","60",15703,14305,0,0,,,,,,0,0,0,0,0,17,,0,0,0,1398,"2","2","2","1","1","1","1","1","1","1","1","2","1753.56","1","1","2","2","2","2","1","1","5","1","1","NA","NA","308.41","1","1","1",1,,,,,,
