"PB010","PB020","PB030","PB040","PB060","PB100","PB110","PB120","PB130","PB140","PB150","PB190","PB200","PB220A","PE010","PE020","PE040","PL030","PL035","PL015","PL020","PL025","PL040","PL050","PL060","PL070","PL072","PL100","PL110","PL120","PL130","PL140","PL150","PL160","PL170","PL180","PL190","PL210A","PL210B","PL210C","PL210D","PL210E","PL210F","PL210G","PL210H","PL210I","PL210J","PL210K","PL210L","PH010","PH020","PH030","PH040","PH050","PH060","PH070","PY020N","PY035N","PY070N","PY010G","PY020G","PY035G","PY050G","PY070G","PY080G","PY090G","PY100G","PY110G","PY120G","PY130G","PY140G","PY200G","PM005","PM010","PM020","PM030","PM035","PM040","PM050","PM060","PM070","PM080","PM090","PM100","PX030","PX040","PX020","PX050","PX010"
"2005","SE",361,746.788990825688,"1171.59","3","2005","86","3",1981,"2","1","2","SE","2","3","3","4","NA","NA","NA","NA","NA",,"55","12","0","NA",,"NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","3","1","NA","NA","NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6937,1,"550.605","NA","NA","1955","NA","NA","NA","NA","NA","NA","NA","NA",36,"3",23,"1","9.1243"
"2005","SE",461,746.788990825688,"NA","1","2005","NA","2",1955,"1","2","1","SE","2","NA","3","1","NA","NA","NA","NA","NA","2","40","0","0","NA","k","NA","11","1","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","1","NA","NA","NA",0,3398,0,28384,0,219,0,0,0,0,0,0,0,0,0,1,"638.125","NA","NA","NA","NA","NA","NA","NA","NA","NA","41","4",46,"3",49,"1","9.1243"
"2005","SE",611,746.788990825688,"1276.25","1","2005","60","3",1924,"2","2","1","SE","2","NA",,"5","NA","NA","NA","NA","3",,"40","0","0","NA",,"NA","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","3","NA","NA","NA","NA",0,658,0,0,0,0,0,0,0,0,4623,0,0,23269,0,1,"1033.61","1","NA","NA","NA","NA","2","1","NA","6","51","NA",61,"2",80,"4","9.1243"
"2005","SE",721,746.788990825688,"NA","1","2005","NA","2",1944,"1","2","2","SE","2","NA","5","1","NA","NA","NA","NA","3","2","40","12","0","NA","k","NA","13","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","2","8","2","NA",0,0,0,68491,115,0,0,0,0,0,0,0,0,0,0,1,"389.83","NA","NA","1942","NA","NA","1","NA","NA","NA","41","NA",72,"3",60,"1","9.1243"
"2005","SE",821,746.788990825688,"NA","3","2005","50","1",1982,"2","1","2","SE","2","NA","3","2","NA","1","NA","NA","NA","4","NA","0","0","NA","l-n","NA","11","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","2","NA","2","NA",0,395,0,16006,0,0,0,0,0,0,0,0,0,0,0,1,"557.98","1","NA","1925","NA","1","1","NA","NA","6","NA","NA",82,"3",22,"3","9.1243"
"2005","SE",901,746.788990825688,"1169.49","2","2005","70","2",1927,"2","5","1","SE","1","NA","1","5","NA","NA","1","NA","NA","5","30","0","0","NA",,"NA","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3","2","NA","NA","1",0,2449,0,0,0,0,0,0,0,0,4105,0,0,0,0,1,"295.27","NA","1948","NA","NA","NA","NA","NA","NA","NA","NA","NA",90,"2",77,"1","9.1243"
"2005","SE",1041,746.788990825688,"NA","3","2005","70","4",1957,"1","1","1","SE","2","NA","3","1","NA","NA","2","NA","NA","4","40","12","0","NA",,"NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","1","2","NA","2","NA",0,88,0,0,0,0,8896,0,0,59933,0,0,0,0,0,1,"NA","1","NA","NA","NA","2","1","NA","NA","1","NA","NA",104,"2",47,"3","9.1243"
"2005","SE",1091,746.788990825688,"1171.59","4","2005","70","4",1951,"2","1","1","SE","1","5","2","6","NA","NA","2","NA","NA",,"NA","0","0","NA",,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3","NA","NA","2","NA","NA","NA",0,1052,0,0,0,0,0,0,0,0,0,0,0,11338,0,1,"NA","NA","NA","1946","NA","1","2","NA","NA","NA","NA","NA",109,"2",53,"1","9.1243"
"2005","SE",1231,746.788990825688,"1169.49","3","2005","60","3",1929,"2","2","3","SE","2","NA",,"5","NA","NA","NA","NA","3",,"NA","0","0","NA",,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4","NA","NA","NA","NA","2","1",0,0,0,340,0,0,0,0,852,2416,2377,0,0,0,0,1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",123,"2",75,"4","9.1243"
"2005","SE",1291,746.788990825688,"1184.35","3","2005","60","2",1975,"1","1","2","SE","2","NA","3","4","NA","1","2","NA","3",,"NA","2","0","NA",,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","NA","2","NA",18,0,0,6622,0,0,0,0,0,0,0,0,0,0,1716,1,"NA","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","5",129,"3",29,"3","9.1243"
