"RB010","RB020","RB030","RB050","RB070","RB080","RB090","RB200","RB210","RB245","RB250","RB260","RL010","RL020","RL030","RL040","RL050","RL060","RX030","RX020","RX010"
"2006","SE",351,652.218045112782,"2",1942,"2","1","1","2","13","3","NA","NA","0","NA","NA","NA",35,63,64
"2006","SE",451,652.218045112782,"4",1971,"1","1","4","3","13","NA","NA","NA","NA","NA","NA","NA",45,34,35
"2006","SE",591,652.218045112782,"1",1952,"2","1","4","2","13","3","NA","NA","NA","NA","NA","0",59,53,54
"2006","SE",691,652.218045112782,"3",1972,"1","1","1","2","13","3","NA","NA","NA","NA","0","NA",69,33,34
"2006","SE",791,652.218045112782,"1",1925,"2","1","3","2","13","3","NA","NA","NA","NA","NA","NA",79,80,80
"2006","SE",871,652.218045112782,"3",1952,"1","1","3","3","NA","3","NA","NA","NA","NA","NA","NA",87,53,54
"2006","SE",1001,652.218045112782,"2",1974,"2","1","1","3","13","3","NA","NA","NA","NA","NA","NA",100,31,32
"2006","SE",1061,652.218045112782,"3",1936,"2","1","1","4","13","3","NA","NA","NA","NA","NA","NA",106,69,70
"2006","SE",1191,652.218045112782,"1",1957,"1","1","3","3","13","NA","NA","NA","NA","NA","NA","NA",119,48,48
"2006","SE",1241,652.218045112782,"4",1980,"1","1","3","2","13","3","NA","NA","NA","NA","0","0",124,25,26
"2006","SE",1281,652.218045112782,"4",1925,"2","1","1","2","13","3","NA","NA","NA","0","NA","NA",128,80,80
"2006","SE",1361,652.218045112782,"1",1925,"2","1","4","4","NA","3","NA","NA","NA","NA","NA","NA",136,80,80
"2006","SE",1441,652.218045112782,"2",1982,"2","1","1","2","NA","3","NA","NA","NA","NA","0","NA",144,23,24
"2006","SE",1511,652.218045112782,"4",1958,"1","1","4","3","13","3","NA","NA","NA","NA","NA","NA",151,47,48
"2006","SE",1811,652.218045112782,"3",1956,"1","1","1","2","13","3","NA","NA","15","NA","NA","NA",181,49,50
"2006","SE",1861,652.218045112782,"4",1925,"2","1","4","3","13","3","NA","NA","NA","NA","NA","NA",186,80,80
"2006","SE",1881,652.218045112782,"4",1969,"1","1","3","3","NA","3","NA","NA","NA","NA","NA","NA",188,36,37
"2006","SE",2301,652.218045112782,"2",1925,"1","1","3","2","NA","3","NA","NA","NA","NA","0","NA",230,80,80
"2006","SE",2411,652.218045112782,"3",1964,"1","1","3","4","13","NA","NA","NA","NA","NA","NA","NA",241,41,42
