"HB010","HB020","HB030","HB050","HB060","HB100","HY010","HY020","HY022","HY023","HY025","HY030N","HY100N","HY145N","HY030G","HY040G","HY050G","HY060G","HY070G","HY080G","HY090G","HY100G","HY110G","HY120G","HY130G","HY140G","HS010","HS020","HS030","HS040","HS050","HS060","HS070","HS080","HS090","HS100","HS110","HS120","HS130","HS140","HS150","HS160","HS170","HS180","HS190","HH010","HH020","HH030","HH040","HH050","HH060","HH061","HH070","HH080","HH090","MH010","MH020","MH030","MH040","MH050","MH060","MH070","MH080","MH090","MH100","MH110","MH120","MH130","MH140","MH150","MH160","HX040","HX050","HX090","HX080","HX060","HX070","HX020","HX010","HY081N","HY131N","HY081G","HY131G"
"2007","SE",34,"4","2007","10",15336,7405,0,0,,,,,,0,0,0,0,0,0,,0,0,0,7931,"2","2","NA","1","1","1","1","1","1","1","1","5","756.4","3","NA","2","2","2","1","3","1","4","2","1","NA","NA","521.27","1","1","2","1","1","1","1","2","1","2","4","3","3","3","3","NA","2","NA","1",1,,,,,,,,,,
"2007","SE",43,"4","2007","12",30072,23208,0,0,,,,,,0,0,0,0,0,0,,0,0,0,6864,"2","2","2","2","1","1","1","1","1","1","1","2","1620.85","3","2","2","2","2","2","1","1","6","2","1","NA","747.21","924.21","1","1","1","1","2","1","1","1","1","4","4","4","4","4","3","NA","1","NA","1",1,,,,,,,,,,
"2007","SE",57,"4","2007","12",15303,5388,0,0,,,,,,0,0,0,0,0,644,,0,1936,0,7979,"2","1","NA","1","1","1","1","1","1","1","1","6","1620.85","3","NA","2","2","2","2","4","1","1","2","1","636.67","NA","837.87","1","1","2","1","1","1","2","2","1","4","4","4","4","2","3","NA","2","NA","1",1,,,,,,,,,,
"2007","SE",67,"4","2007","35",18080,17970,0,0,,,,,,0,0,0,0,0,149,,0,0,0,110,"2","2","NA","1","1","1","1","1","1","1","1","4","2053.08","NA","NA","2","2","2","1","1","1","4","2","1","NA","747.21","39.76","1","1","2","2","1","1","1","1","1","4","3","4","4","1","4","NA","2","NA","1",1,,,,,,,,,,
"2007","SE",77,"4","2007","16",7990,576,0,0,,,,,,0,0,0,0,0,17,,0,437,0,6977,"2","2","2","1","1","1","1","1","1","1","1","6","1620.85","1","NA","2","2","2","2","1","1","6","2","1","NA","747.21","991.42","1","1","2","1","1","1","1","2","1","4","4","3","3","3","2","4","1","1","1",1,,,,,,,,,,
"2007","SE",85,"4","2007","10",14558,2442,0,0,,,,,,0,0,0,0,0,7,,0,0,0,12116,"2","2","2","1","1","1","1","1","1","1","3","3","NA","2","NA","2","2","2","2","1","1","2","2","1","561.89","339.51","613.01","1","1","2","1","1","1","1","2","1","3","3","4","4","3","3","NA","2","NA","1",1,,,,,,,,,,
"2007","SE",97,"4","2007","10",66988,66755,0,0,,,,,,0,0,0,0,0,63,,0,0,0,232,"2","2","NA","1","2","1","1","1","1","1","1","6","NA","2","NA","1","2","2","2","4","1","6","2","1","NA","NA","442.82","1","1","2","1","2","1","1","2","1","2","4","3","4","3","2","4","2","NA","1",1,,,,,,,,,,
"2007","SE",103,"4","2007","8",28293,22883,0,0,,,,,,0,0,0,0,0,0,,0,0,0,5410,"2","1","NA","1","1","1","3","1","1","1","1","5","NA","2","NA","2","2","2","2","4","1","4","2","1","NA","580.26","726.47","1","1","2","1","2","2","1","2","1","4","3","2","3","3","3","3","2","3","1",1,,,,,,,,,,
"2007","SE",115,"4","2007","26",27120,18111,0,0,,,,,,0,0,0,0,0,1,,0,0,0,9009,"2","2","NA","1","1","2","1","1","3","1","1","5","1728.91","3","NA","2","2","2","1","1","2","6","2","1","464.64","NA","3.24","1","1","1","1","1","1","1","2","1","4","4","4","4","NA","3","NA","2","NA","1",1,,,,,,,,,,
"2007","SE",121,"4","2007","15",18987,15296,0,0,,,,,,0,0,0,0,0,0,,0,0,0,3691,"2","2","NA","1","1","1","1","1","1","1","1","4","756.4","3","3","2","2","2","2","2","1","6","2","1","NA","636.67","279.11","1","1","2","1","1","1","1","2","1","3","4","3","3","3","1","NA","2","NA","1",1,,,,,,,,,,
