"DB010","DB020","DB030","DB040","DB062","DB090"
"2008","SE",34,"SE11","NA","472.83"
"2008","SE",44,"SE11","NA","894.4726"
"2008","SE",57,"SE11","NA","1077.007"
"2008","SE",67,"SE11","NA","1001.156"
"2008","SE",77,"SE11","NA","523.8263"
"2008","SE",85,"SE11","NA","775.6851"
"2008","SE",97,"SE11","NA","429.0966"
"2008","SE",99,"SE11","NA","460.1401"
"2008","SE",103,"SE11","NA","940.4599"
"2008","SE",116,"SE11","NA","480.8154"
"2008","SE",121,"SE11","NA","356.285"
"2008","SE",124,"SE11","NA","525.3376"
"2008","SE",132,"SE11","NA","593.6609"
"2008","SE",140,"SE11","NA","437.8548"
"2008","SE",147,"SE11","NA","1019.022"
"2008","SE",176,"SE11","NA","1047.653"
"2008","SE",181,"SE11","NA","1045.605"
"2008","SE",183,"SE11","NA","509.5109"
"2008","SE",188,"SE11","NA","1459.732"
"2008","SE",224,"SE11","NA","1077.007"
"2008","SE",234,"SE11","NA","528.6009"
"2008","SE",246,"SE11","NA","470.2299"
"2008","SE",247,"SE11","NA","1308.082"
"2008","SE",248,"SE11","NA","288.3912"
"2008","SE",281,"SE11","NA","488.3157"
"2008","SE",283,"SE11","NA","519.0916"
"2008","SE",301,"SE11","NA","1019.022"
"2008","SE",332,"SE11","NA","259.8532"
"2008","SE",344,"SE11","NA","1038.183"
"2008","SE",346,"SE11","NA","500.8137"
"2008","SE",347,"SE11","NA","522.8025"
"2008","SE",349,"SE11","NA","1047.653"
"2008","SE",353,"SE11","NA","567.7565"
"2008","SE",382,"SE11","NA","1021.607"
"2008","SE",384,"SE11","NA","976.6314"
"2008","SE",385,"SE11","NA","233.0387"
"2008","SE",400,"SE11","NA","387.8425"
"2008","SE",435,"SE11","NA","654.0408"
"2008","SE",464,"SE11","NA","1271.816"
"2008","SE",475,"SE11","NA","429.856"
"2008","SE",484,"SE11","NA","486.5772"
"2008","SE",495,"SE11","NA","985.9122"
"2008","SE",496,"SE11","NA","1050.675"
"2008","SE",524,"SE11","NA","965.6981"
"2008","SE",540,"SE11","NA","1098.522"
"2008","SE",542,"SE11","NA","470.2299"
"2008","SE",545,"SE11","NA","218.9274"
"2008","SE",549,"SE11","NA","344.7379"
"2008","SE",554,"SE11","NA","448.888"
"2008","SE",570,"SE11","NA","1183.241"
"2008","SE",581,"SE11","NA","472.83"
"2008","SE",587,"SE11","NA","488.3157"
"2008","SE",597,"SE11","NA","175.1419"
"2008","SE",630,"SE11","NA","525.3376"
"2008","SE",637,"SE11","NA","519.0916"
"2008","SE",639,"SE11","NA","1045.605"
"2008","SE",642,"SE11","NA","447.2363"
"2008","SE",650,"SE11","NA","366.8563"
"2008","SE",652,"SE11","NA","488.3157"
"2008","SE",680,"SE11","NA","460.1401"
"2008","SE",683,"SE11","NA","500.8137"
"2008","SE",687,"SE11","NA","894.4726"
"2008","SE",690,"SE11","NA","432.5868"
"2008","SE",709,"SE11","NA","882.4133"
"2008","SE",713,"SE11","NA","1021.607"
"2008","SE",797,"SE11","NA","482.8491"
"2008","SE",815,"SE11","NA","359.0022"
"2008","SE",819,"SE11","NA","366.8563"
"2008","SE",827,"SE11","NA","932.1548"
"2008","SE",829,"SE11","NA","429.856"
"2008","SE",845,"SE11","NA","940.4599"
"2008","SE",848,"SE11","NA","570.4844"
"2008","SE",887,"SE11","NA","429.856"
"2008","SE",910,"SE11","NA","1085.326"
"2008","SE",927,"SE11","NA","429.0966"
"2008","SE",931,"SE11","NA","1241.646"
"2008","SE",932,"SE11","NA","447.2363"
"2008","SE",936,"SE11","NA","448.888"
"2008","SE",941,"SE11","NA","371.341"
"2008","SE",973,"SE11","NA","512.3546"
"2008","SE",1000,"SE11","NA","356.285"
"2008","SE",1001,"SE11","NA","510.8034"
"2008","SE",1036,"SE11","NA","591.6205"
"2008","SE",1042,"SE11","NA","488.3157"
"2008","SE",1047,"SE11","NA","529.8593"
"2008","SE",1062,"SE11","NA","1080.412"
"2008","SE",1100,"SE11","NA","299.2586"
"2008","SE",1122,"SE11","NA","586.7549"
"2008","SE",1124,"SE11","NA","525.3376"
"2008","SE",1168,"SE11","NA","961.6308"
"2008","SE",1172,"SE11","NA","570.4844"
"2008","SE",1177,"SE11","NA","318.9706"
"2008","SE",1181,"SE11","NA","457.4775"
"2008","SE",1212,"SE11","NA","500.5781"
"2008","SE",1243,"SE11","NA","882.4133"
"2008","SE",1279,"SE11","NA","712.57"
"2008","SE",1289,"SE11","NA","475.2508"
"2008","SE",1291,"SE11","NA","588.2755"
"2008","SE",1292,"SE11","NA","695.5082"
"2008","SE",1298,"SE11","NA","391.1699"
"2008","SE",1306,"SE11","NA","900.5662"
"2008","SE",1340,"SE11","NA","1173.51"
"2008","SE",1345,"SE11","NA","525.3376"
"2008","SE",1347,"SE11","NA","482.8491"
"2008","SE",1348,"SE11","NA","500.8137"
"2008","SE",1351,"SE11","NA","528.6009"
"2008","SE",1353,"SE11","NA","482.8491"
"2008","SE",1356,"SE11","NA","1024.709"
"2008","SE",1404,"SE11","NA","559.3131"
"2008","SE",1411,"SE11","NA","858.1933"
"2008","SE",1413,"SE11","NA","500.5781"
"2008","SE",1416,"SE11","NA","540.206"
"2008","SE",1434,"SE11","NA","957.7734"
"2008","SE",1439,"SE11","NA","894.4726"
"2008","SE",1442,"SE11","NA","538.5034"
"2008","SE",1454,"SE11","NA","460.3103"
"2008","SE",1459,"SE11","NA","480.8154"
"2008","SE",1462,"SE11","NA","576.3304"
"2008","SE",1474,"SE11","NA","1146.602"
"2008","SE",1481,"SE11","NA","347.7541"
"2008","SE",1482,"SE11","NA","460.1401"
"2008","SE",1485,"SE11","NA","387.8425"
"2008","SE",1518,"SE11","NA","1059.719"
"2008","SE",1530,"SE11","NA","346.471"
"2008","SE",1539,"SE11","NA","1047.653"
"2008","SE",1542,"SE11","NA","1187.322"
"2008","SE",1549,"SE11","NA","1187.322"
"2008","SE",1550,"SE11","NA","460.3103"
"2008","SE",1554,"SE11","NA","356.285"
"2008","SE",1586,"SE11","NA","347.7541"
"2008","SE",1609,"SE11","NA","1241.646"
"2008","SE",1615,"SE11","NA","482.8491"
"2008","SE",1616,"SE11","NA","429.0966"
"2008","SE",1627,"SE11","NA","429.856"
"2008","SE",1634,"SE11","NA","1038.183"
"2008","SE",1674,"SE11","NA","313.4866"
"2008","SE",1686,"SE11","NA","742.682"
"2008","SE",1698,"SE11","NA","1271.816"
"2008","SE",1702,"SE11","NA","858.1933"
"2008","SE",1743,"SE11","NA","472.83"
"2008","SE",1752,"SE11","NA","1183.241"
"2008","SE",1793,"SE11","NA","1038.183"
"2008","SE",1809,"SE11","NA","437.8548"
"2008","SE",1814,"SE11","NA","1241.646"
"2008","SE",1826,"SE11","NA","472.83"
"2008","SE",1835,"SE11","NA","1059.719"
"2008","SE",1897,"SE11","NA","429.0966"
"2008","SE",1919,"SE11","NA","1050.675"
"2008","SE",1928,"SE11","NA","306.7601"
"2008","SE",1948,"SE11","NA","1073.136"
"2008","SE",1955,"SE11","NA","1140.969"
"2008","SE",1965,"SE11","NA","1085.326"
"2008","SE",1980,"SE11","NA","858.1933"
"2008","SE",1983,"SE11","NA","341.5697"
"2008","SE",1987,"SE11","NA","567.7565"
"2008","SE",1996,"SE11","NA","488.3157"
"2008","SE",2004,"SE11","NA","313.4866"
"2008","SE",2009,"SE11","NA","440.2297"
"2008","SE",2025,"SE11","NA","341.5697"
"2008","SE",2029,"SE11","NA","932.1548"
"2008","SE",2048,"SE11","NA","865.1737"
"2008","SE",2049,"SE11","NA","480.8154"
"2008","SE",2065,"SE11","NA","522.8025"
"2008","SE",2066,"SE11","NA","536.5678"
"2008","SE",2088,"SE11","NA","500.8137"
"2008","SE",2100,"SE11","NA","432.5868"
"2008","SE",2120,"SE11","NA","500.5781"
"2008","SE",2129,"SE11","NA","359.0022"
"2008","SE",2133,"SE11","NA","1152.661"
"2008","SE",2136,"SE11","NA","1001.627"
"2008","SE",2151,"SE11","NA","450.2831"
"2008","SE",2168,"SE11","NA","875.7096"
"2008","SE",2184,"SE11","NA","384.2203"
"2008","SE",2206,"SE11","NA","293.4864"
"2008","SE",2222,"SE11","NA","591.6205"
"2008","SE",2242,"SE11","NA","488.3157"
"2008","SE",2247,"SE11","NA","321.8994"
"2008","SE",2259,"SE11","NA","1300.069"
"2008","SE",2267,"SE11","NA","475.2508"
"2008","SE",2270,"SE11","NA","387.8425"
"2008","SE",2275,"SE11","NA","525.3376"
"2008","SE",2278,"SE11","NA","472.83"
"2008","SE",2288,"SE11","NA","1187.322"
"2008","SE",2297,"SE11","NA","985.9122"
"2008","SE",2311,"SE11","NA","364.9329"
"2008","SE",2318,"SE11","NA","894.4726"
"2008","SE",2321,"SE11","NA","517.1069"
"2008","SE",2322,"SE11","NA","1045.605"
"2008","SE",2361,"SE11","NA","432.5868"
"2008","SE",2371,"SE11","NA","570.4844"
"2008","SE",2374,"SE11","NA","742.682"
"2008","SE",2395,"SE11","NA","529.8593"
"2008","SE",2402,"SE11","NA","1014.129"
"2008","SE",2404,"SE11","NA","429.856"
"2008","SE",2409,"SE11","NA","1024.709"
"2008","SE",2419,"SE11","NA","1045.605"
"2008","SE",2424,"SE11","NA","371.341"
"2008","SE",2431,"SE11","NA","500.5781"
"2008","SE",2435,"SE11","NA","519.0916"
"2008","SE",2438,"SE11","NA","528.6009"
"2008","SE",2442,"SE11","NA","1183.241"
"2008","SE",2457,"SE11","NA","1118.626"
"2008","SE",2461,"SE11","NA","775.6851"
"2008","SE",2477,"SE11","NA","180.1132"
"2008","SE",2496,"SE11","NA","384.2203"
"2008","SE",2514,"SE11","NA","742.682"
"2008","SE",2530,"SE11","NA","225.1415"
"2008","SE",2560,"SE11","NA","346.471"
"2008","SE",2561,"SE11","NA","356.285"
"2008","SE",2632,"SE11","NA","528.6009"
"2008","SE",2649,"SE11","NA","586.7549"
"2008","SE",2661,"SE11","NA","1183.241"
"2008","SE",2671,"SE11","NA","529.8593"
"2008","SE",2673,"SE11","NA","1183.241"
"2008","SE",2675,"SE11","NA","432.5868"
"2008","SE",2679,"SE11","NA","961.6308"
"2008","SE",2695,"SE11","NA","230.1551"
"2008","SE",2698,"SE11","NA","542.6628"
"2008","SE",2707,"SE11","NA","880.4593"
"2008","SE",2729,"SE11","NA","1014.129"
"2008","SE",2739,"SE11","NA","1085.326"
"2008","SE",2744,"SE11","NA","695.5082"
"2008","SE",2746,"SE11","NA","559.3131"
"2008","SE",2750,"SE11","NA","510.8034"
"2008","SE",2753,"SE11","NA","321.8994"
"2008","SE",2754,"SE11","NA","356.285"
"2008","SE",2776,"SE11","NA","733.7127"
"2008","SE",2803,"SE11","NA","858.1933"
"2008","SE",2812,"SE11","NA","940.4599"
"2008","SE",2820,"SE11","NA","1001.156"
"2008","SE",2824,"SE11","NA","288.3912"
"2008","SE",2846,"SE11","NA","1014.129"
"2008","SE",2852,"SE11","NA","525.3376"
"2008","SE",2853,"SE11","NA","961.6308"
"2008","SE",2864,"SE11","NA","1080.412"
"2008","SE",2872,"SE11","NA","742.682"
"2008","SE",2873,"SE11","NA","865.1737"
"2008","SE",2882,"SE11","NA","1118.626"
"2008","SE",2893,"SE11","NA","875.7096"
"2008","SE",2894,"SE11","NA","1019.022"
"2008","SE",2901,"SE11","NA","466.0774"
"2008","SE",2909,"SE11","NA","542.6628"
"2008","SE",2936,"SE11","NA","482.8491"
"2008","SE",2940,"SE11","NA","509.5109"
"2008","SE",2948,"SE11","NA","429.0966"
"2008","SE",2950,"SE11","NA","450.2831"
"2008","SE",2963,"SE11","NA","359.0022"
"2008","SE",2965,"SE11","NA","559.3131"
"2008","SE",2968,"SE11","NA","460.3103"
"2008","SE",2980,"SE11","NA","538.5034"
"2008","SE",3001,"SE11","NA","1241.646"
"2008","SE",3008,"SE11","NA","559.3131"
"2008","SE",3012,"SE11","NA","173.2355"
"2008","SE",3036,"SE11","NA","371.341"
"2008","SE",3043,"SE11","NA","880.4593"
"2008","SE",3063,"SE11","NA","965.6981"
"2008","SE",3072,"SE11","NA","793.2755"
"2008","SE",3082,"SE11","NA","897.7759"
"2008","SE",3087,"SE11","NA","1014.129"
"2008","SE",3091,"SE11","NA","448.888"
"2008","SE",3094,"SE11","NA","1019.022"
"2008","SE",3102,"SE11","NA","528.6009"
"2008","SE",3108,"SE11","NA","373.9655"
"2008","SE",3114,"SE11","NA","472.83"
"2008","SE",3126,"SE11","NA","567.7565"
"2008","SE",3127,"SE11","NA","591.6205"
"2008","SE",3141,"SE11","NA","559.3131"
"2008","SE",3185,"SE11","NA","500.5781"
"2008","SE",3205,"SE11","NA","429.856"
"2008","SE",3226,"SE11","NA","291.9463"
"2008","SE",3231,"SE11","NA","542.6628"
"2008","SE",3232,"SE11","NA","448.888"
"2008","SE",3251,"SE11","NA","356.285"
"2008","SE",3264,"SE11","NA","576.3304"
"2008","SE",3266,"SE11","NA","1014.129"
"2008","SE",3276,"SE11","NA","500.5781"
"2008","SE",3277,"SE11","NA","448.888"
"2008","SE",3284,"SE11","NA","480.8154"
"2008","SE",3291,"SE11","NA","371.341"
"2008","SE",3295,"SE11","NA","478.4559"
"2008","SE",3310,"SE11","NA","775.6851"
"2008","SE",3316,"SE11","NA","517.1069"
"2008","SE",3326,"SE11","NA","509.5109"
"2008","SE",3357,"SE11","NA","1050.675"
"2008","SE",3362,"SE11","NA","387.8425"
"2008","SE",3365,"SE11","NA","1183.241"
"2008","SE",3372,"SE11","NA","507.0646"
"2008","SE",3395,"SE11","NA","525.3376"
"2008","SE",3399,"SE11","NA","775.6851"
"2008","SE",3403,"SE11","NA","488.3157"
"2008","SE",3404,"SE11","NA","965.6981"
"2008","SE",3413,"SE11","NA","586.7549"
"2008","SE",3418,"SE11","NA","371.341"
"2008","SE",3433,"SE11","NA","961.6308"
"2008","SE",3468,"SE11","NA","500.5781"
"2008","SE",3469,"SE11","NA","352.4006"
"2008","SE",3471,"SE11","NA","591.6205"
"2008","SE",3475,"SE11","NA","542.6628"
"2008","SE",3495,"SE11","NA","1080.412"
"2008","SE",3512,"SE11","NA","1057.202"
"2008","SE",3517,"SE11","NA","356.285"
"2008","SE",3528,"SE11","NA","733.7127"
"2008","SE",3546,"SE11","NA","296.9545"
"2008","SE",3557,"SE11","NA","519.7065"
"2008","SE",3584,"SE11","NA","921.3204"
"2008","SE",3587,"SE11","NA","914.9551"
"2008","SE",3595,"SE11","NA","523.8263"
"2008","SE",3608,"SE11","NA","932.1548"
"2008","SE",3609,"SE11","NA","529.8593"
"2008","SE",3610,"SE11","NA","519.0916"
"2008","SE",3621,"SE11","NA","961.6308"
"2008","SE",3631,"SE11","NA","1187.322"
"2008","SE",3654,"SE11","NA","945.66"
"2008","SE",3660,"SE11","NA","1291.453"
"2008","SE",3687,"SE11","NA","356.285"
"2008","SE",3688,"SE11","NA","1300.069"
"2008","SE",3695,"SE11","NA","366.8563"
"2008","SE",3706,"SE11","NA","523.8263"
"2008","SE",3713,"SE11","NA","1241.646"
"2008","SE",3725,"SE11","NA","450.2831"
