"HB010","HB020","HB030","HB050","HB060","HB100","HY010","HY020","HY022","HY023","HY025","HY030N","HY081N","HY100N","HY131N","HY145N","HY030G","HY040G","HY050G","HY060G","HY070G","HY080G","HY081G","HY090G","HY100G","HY110G","HY120G","HY130G","HY131G","HY140G","HS010","HS011","HS020","HS021","HS030","HS031","HS040","HS050","HS060","HS070","HS080","HS090","HS100","HS110","HS120","HS130","HS140","HS150","HS160","HS170","HS180","HS190","HH010","HH020","HH030","HH040","HH050","HH060","HH061","HH070","HH080","HH081","HH090","HH091","MI010","MI020","MI025","MI026","MI030","MI040","MI045","MI046","MI050","MI051","MI052","MI053","MI054","MI055","MI056","MI057","MI058","MI060","MI065","MI066","MI075","MI076","MI085","MI086","MI090","MI095","MI100","MI110","MI111","MI112","MI113","MI114","MI120","MI121","MI122","MI123","MI124","MI125","HX040","HX050","HX090","HX080","HX060","HX070","HX120","HX010"
"2008","SE",34,"4","2008","45",3,-720,0,0,,,,,,,,0,0,0,0,0,,3,,0,0,0,,723,"2","NA","2","NA","2","NA","1","1","2","1","1","1","1","3","6","NA","2","NA","2","2","2","2","1","2","1","2","1","NA","584.53","540.43","1","NA","1","NA","1","2","NA","NA","2","NA","NA","NA","2","2","NA","NA","2","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","2","NA","NA","NA","NA","NA","2","2","2","2","NA","NA","1",1,,,,,,
"2008","SE",44,"4","2008","20",44003,38587,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,5416,"2","NA","2","NA","2","NA","2","1","1","1","1","1","1","1","6","NA","1","NA","2","2","2","2","3","2","3","2","1","NA","898.48","617.61","1","NA","1","NA","NA","2","NA","NA","1","2","NA","NA","2","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","2","NA","NA","NA","NA","NA","2","2","2","2","2","NA","1",1,,,,,,
"2008","SE",57,"3","2008","42",19095,11241,1777,1777,,,,,,,,1777,0,0,0,0,,1047,,0,1126,0,,6728,"2","NA","2","NA","2","NA","1","1","1","1","1","1","1","1","5","3243.21","NA","2","2","2","2","2","1","1","5","2","1","727.56","668.21","459.24","1","NA","1","NA","1","2","NA","NA","1","2","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","2","NA","NA","NA","NA","NA","2","2","2","2","2","NA","1",1,,,,,,
"2008","SE",67,"4","2008","30",43124,37778,0,0,,,,,,,,0,0,1951,956,0,,0,,0,192,0,,5153,"2","NA","2","NA","2","NA","1","1","1","1","1","1","1","1","5","1621.6","1","NA","2","2","2","2","1","1","4","2","1","NA","898.48","283.35","1","NA","1","NA","1","2","NA","NA","2","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","2","NA","NA","NA","NA","NA","2","2","2","2","2","NA","1",1,,,,,,
"2008","SE",77,"4","2008","16",12676,5428,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,7248,"2","NA","2","NA","2","NA","1","1","1","1","1","1","3","3","4","3459.42","3","1","2","2","2","2","1","2","4","2","1","NA","NA","555.78","1","NA","1","NA","1","2","NA","NA","1","NA","NA","NA","2","2","NA","2","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","2","NA","4","NA","NA","NA","NA","NA","2","2","2","2","2","NA","1",1,,,,,,
"2008","SE",85,"4","2008","10",22929,18856,0,0,,,,,,,,0,0,0,0,0,,28,,0,470,0,,3603,"2","NA","2","NA","2","NA","1","1","1","1","2","3","1","1","4","1837.82","2","2","2","2","2","1","1","2","3","2","1","NA","NA","433.94","1","NA","1","NA","1","2","NA","NA","2","2","NA","NA","1","NA","2","NA","NA","2","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","2","NA","NA","NA","NA","NA","2","2","2","2","2","NA","1",1,,,,,,
"2008","SE",97,"4","2008","13",16280,4431,0,0,,,,,,,,0,0,0,0,0,,185,,0,0,0,,11850,"2","NA","2","NA","2","NA","1","1","1","1","1","3","1","1","4","1297.28","1","NA","2","2","2","2","4","1","5","1","1","NA","NA","317.08","1","NA","1","NA","1","2","NA","NA","1","2","NA","NA","2","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","1","NA","NA","NA","NA","NA","2","2","2","2","2","NA","1",1,,,,,,
"2008","SE",99,"4","2008","23",27077,20951,0,0,,,,,,,,0,0,0,0,0,,1083,,0,0,0,,6126,"2","NA","2","NA","2","NA","1","1","1","1","1","1","1","1","5","3243.21","3","NA","2","2","2","2","1","1","2","2","1","NA","780.32","459.24","1","NA","1","NA","1","2","NA","NA","2","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","2","NA","NA","NA","NA","NA","2","2","2","2","2","NA","1",1,,,,,,
"2008","SE",103,"3","2008","18",39197,37947,0,0,,,,,,,,0,0,0,6769,0,,273,,0,0,0,,1250,"2","NA","2","NA","2","NA","1","1","1","1","1","1","1","1","6","1621.6","2","NA","2","2","2","2","1","1","4","2","1","NA","535.45","426.59","1","NA","1","NA","1","2","NA","NA","1","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","2","NA","NA","NA","NA","NA","2","2","2","2","2","NA","1",1,,,,,,
"2008","SE",116,"4","2008","14",23680,22404,2319,2319,,,,,,,,2319,0,0,0,0,,1367,,0,0,0,,1275,"2","NA","2","NA","2","NA","1","1","1","1","1","1","1","1","4","5405.35","2","NA","2","2","2","2","1","1","4","2","1","NA","1017.83","391.67","1","NA","1","NA","1","2","NA","NA","1","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","2","NA","NA","NA","NA","NA","2","2","2","2","2","NA","1",1,,,,,,
