"HB010","HB020","HB030","HB050","HB060","HB100","HY010","HY020","HY022","HY023","HY025","HY030N","HY081N","HY100N","HY131N","HY145N","HY030G","HY040G","HY050G","HY060G","HY070G","HY080G","HY081G","HY090G","HY100G","HY110G","HY120G","HY130G","HY131G","HY140G","HS010","HS011","HS020","HS021","HS030","HS031","HS040","HS050","HS060","HS070","HS080","HS090","HS100","HS110","HS120","HS130","HS140","HS150","HS160","HS170","HS180","HS190","HH010","HH020","HH030","HH040","HH050","HH060","HH061","HH070","HH080","HH081","HH090","HH091","HD010","HD020","HD025","HD030","HD035","HD040","HD050","HD060","HD070","HD080","HD090","HD100","HD110","HD120","HD130","HD140","HD150","HD160","HD170","HD180","HD190","HD200","HD210","HD220","HD230","HD240","HD250","HD255","HD260","HD265","HX040","HX050","HX090","HX080","HX060","HX070","HX120","HX010"
"2009","SE",35,"3","2009","30",20446,15304,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,5142,"2","NA","2","NA","NA","NA","1","1","1","1","1","1","1","1","6","2184.04","2","NA","2","2","2","1","3","1","6","2","1","NA","517.51","592.4","1","NA","1","NA","1","2","NA","2","NA","NA","3","1","3","1","NA","NA","NA","NA","1","1","NA","3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1",1,,,,,,
"2009","SE",45,"4","2009","11",37457,36388,0,0,,,,,,,,0,0,0,0,0,,0,,0,1058,0,,11,"2","NA","2","NA","NA","NA","1","1","1","1","1","1","1","1","4","NA","3","NA","2","2","2","2","1","1","6","2","1","NA","889.74","1079.75","1","NA","1","NA","1","2","NA","2","180","4","4","NA","2","1","1","1","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","1","NA","NA","NA","NA","NA","1",1,,,,,,
"2009","SE",58,"3","2009","13",36834,29805,0,0,,,,,,,,0,0,1565,474,0,,0,,0,810,0,,6219,"2","NA","2","NA","2","NA","1","1","1","1","1","1","1","3","2","1248.02","2","NA","2","2","2","1","3","1","4","1","1","509.61","NA","836.49","1","NA","1","NA","1","2","NA","2","140","4","2","3","3","1","NA","NA","NA","NA","NA","1","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1",1,,,,,,
"2009","SE",69,"2","2009","36",14335,12952,0,0,,,,,,,,0,0,0,0,0,,924,,0,0,0,,1383,"2","NA","2","NA","NA","NA","2","1","1","1","1","1","1","1","4","2184.04","3","3","2","2","2","1","1","1","3","1","1","NA","874.76","517.1","1","NA","1","NA","1","2","NA","2","85","4","4","1","NA","NA","1","NA","NA","1","NA","NA","NA","1","NA","NA","1","1","NA","NA","2","NA","NA","NA","NA","NA","1",1,,,,,,
"2009","SE",79,"3","2009","21",96519,90590,0,0,,,,,,,,0,0,0,0,0,,1864,,0,0,0,,5929,"2","NA","2","NA","NA","NA","1","1","1","1","1","1","1","1","4","NA","3","NA","2","2","2","1","1","1","5","2","1","NA","581.06","588.34","1","NA","1","NA","1","2","NA","2","NA","NA","2","3","NA","1","1","NA","NA","1","NA","NA","NA","NA","1","1","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","1",1,,,,,,
"2009","SE",87,"4","2009","26",44914,44825,0,0,,,,,,,,0,0,0,0,0,,388,,0,5,0,,85,"NA","NA","2","NA","NA","NA","1","1","1","1","1","1","1","1","6","1560.03","3","NA","2","2","2","2","4","1","6","2","1","NA","750.06","494.11","1","NA","1","NA","1","2","NA","2","250","4","4","4","NA","1","1","NA","1","NA","1","NA","1","NA","NA","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","1",1,,,,,,
"2009","SE",100,"4","2009","23",28878,10416,0,0,,,,,,,,0,0,0,4065,0,,0,,0,2055,0,,16407,"2","NA","2","NA","2","NA","1","1","1","1","1","1","1","1","4","NA","3","NA","2","2","2","2","3","1","3","2","1","NA","889.74","803.52","1","NA","1","NA","1","2","NA","NA","200","NA","3","4","NA","1","1","1","1","NA","NA","NA","1","1","1","NA","NA","1","NA","NA","1","NA","NA","NA","NA","NA","1",1,,,,,,
"2009","SE",102,"4","2009","17",25089,21749,0,0,,,,,,,,0,0,0,0,0,,61,,0,417,0,,2922,"2","NA","2","NA","2","NA","1","1","1","1","1","1","1","1","6","2080.04","2","NA","2","2","2","1","1","1","6","2","1","NA","NA","549.75","1","NA","1","NA","1","NA","NA","1","100","4","4","NA","2","1","1","NA","1","1","1","1","NA","NA","NA","1","1","NA","NA","1","NA","NA","NA","NA","NA","NA","1",1,,,,,,
"2009","SE",106,"2","2009","38",41813,31884,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,9929,"2","NA","2","NA","NA","NA","1","1","1","1","1","1","1","1","4","NA","3","NA","2","2","2","1","4","1","6","2","1","NA","874.76","1572.82","1","NA","1","NA","1","2","NA","2","300","4","4","NA","2","1","1","NA","1","1","NA","NA","1","1","NA","1","NA","NA","1","1","2","NA","NA","NA","NA","NA","1",1,,,,,,
"2009","SE",118,"4","2009","30",30376,26898,0,0,,,,,,,,0,0,0,0,0,,94,,0,0,0,,3478,"2","NA","2","NA","NA","NA","1","1","1","1","1","1","1","1","4","2080.04","3","NA","1","2","2","2","4","1","6","2","1","NA","874.76","954.22","1","NA","1","NA","1","2","7","1","125","4","1","4","3","1","1","NA","1","NA","NA","1","1","NA","NA","1","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","1",1,,,,,,
