"RB010","RB020","RB030","RB050","RB070","RB080","RB090","RB200","RB210","RB245","RB250","RB260","RL010","RL020","RL030","RL040","RL050","RL060","RX030","RX020","RX050","RX040","RX060","RX070","RX010"
"2009","SE",351,615.338078291815,"3",1928,"2","1","1","2","13","3","NA","NA","NA","NA","NA","NA",35,80,"0","99","0","0",80
"2009","SE",451,615.338078291815,"2",1977,"1","1","4","3","NA","3","NA","NA","NA","NA","0","NA",45,31,"2","0.1388888889","0","0",32
"2009","SE",581,615.338078291815,"3",1937,"2","1","NA","4","13","3","NA","NA","NA","0","0","NA",58,71,"0","99","0","0",72
"2009","SE",691,615.338078291815,"3",1951,"1","1","3","3","13","3","NA","NA","NA","NA","NA","0",69,57,"0","1","0","0",57
"2009","SE",791,615.338078291815,"2",1967,"1","1","1","2","13","NA","NA","NA","NA","NA","NA","NA",79,41,"2","0.7285714286","0","0",42
"2009","SE",871,615.338078291815,"2",1951,"1","1","2","2","13","3","NA","NA","NA","NA","NA","NA",87,57,"0","0.6666666667","0","0",58
"2009","SE",1001,615.338078291815,"2",1965,"2","1","1","3","13","3","NA","NA","NA","NA","NA","NA",100,43,"0","1","0","0",44
"2009","SE",1021,615.338078291815,"2",1929,"2","1","1","2","13","3","NA","NA","NA","NA","NA","NA",102,79,"0","1","0","0",80
"2009","SE",1061,615.338078291815,"3",1939,"1","1","4","3","NA","3","NA","NA","NA","NA","NA","NA",106,69,"2","1","0","0",70
"2009","SE",1181,615.338078291815,"3",1973,"2","1","4","2","13","3","NA","NA","NA","40","0","NA",118,35,"0","0.781972659","0","0",36
"2009","SE",1241,615.338078291815,"1",1974,"2","1","3","2","13","3","NA","NA","NA","NA","NA","NA",124,34,"0","0.8317116238","0","101",35
"2009","SE",1271,615.338078291815,"3",1966,"1","1","1","4","13","NA","NA","NA","NA","NA","NA","NA",127,42,"2","99","0","0",43
"2009","SE",1351,615.338078291815,"2",1928,"1","1","1","4","13","NA","NA","NA","NA","NA","NA","NA",135,80,"0","0.75","0","0",80
"2009","SE",1431,615.338078291815,"3",1970,"1","1","3","2","13","NA","NA","NA","NA","0","NA","NA",143,38,"0","0.625","0","0",39
"2009","SE",1511,615.338078291815,"2",1982,"1","1","4","2","13","3","NA","NA","NA","30","NA","NA",151,26,"0","1","0","0",26
"2009","SE",1811,615.338078291815,"4",1945,"2","1","4","4","13","3","NA","NA","NA","NA","NA","NA",181,63,"2","1","0","0",63
"2009","SE",1861,615.338078291815,"3",1943,"1","1","NA","3","13","NA","NA","NA","NA","NA","0","NA",186,65,"0","1","0","0",66
"2009","SE",1871,615.338078291815,"2",1976,"1","1","1","2","13","3","NA","NA","NA","0","NA","NA",187,32,"0","0.8333333333","0","0",33
"2009","SE",2291,615.338078291815,"1",1928,"2","1","2","3","13","3","NA","NA","NA","NA","0","NA",229,80,"0","99","0","0",80
"2009","SE",2401,615.338078291815,"2",1960,"2","1","1","4","13","NA","NA","30","NA","NA","NA","NA",240,48,"2","0.9583333333","0","0",49
"2009","SE",2521,615.338078291815,"4",1955,"1","1","4","2","13","3","NA","30","NA","NA","NA","NA",252,53,"0","0.6666666667","0","0",53
"2009","SE",2531,615.338078291815,"2",1974,"2","1","2","2","13","3","NA","NA","NA","NA","NA","NA",253,34,"0","99","0","0",35
"2009","SE",2541,615.338078291815,"1",1951,"1","1","1","4","13","3","NA","NA","NA","0","NA","NA",254,57,"2","0.875","0","0",58
