"HB010","HB020","HB030","HB050","HB060","HB100","HY010","HY020","HY022","HY023","HY025","HY030N","HY081N","HY100N","HY131N","HY145N","HY170N","HY030G","HY040G","HY050G","HY060G","HY070G","HY080G","HY081G","HY090G","HY100G","HY110G","HY120G","HY130G","HY131G","HY140G","HY170G","HS010","HS011","HS020","HS021","HS030","HS031","HS040","HS050","HS060","HS070","HS080","HS090","HS100","HS110","HS120","HS130","HS140","HS150","HS160","HS170","HS180","HS190","HH010","HH020","HH021","HH030","HH040","HH050","HH060","HH061","HH070","HH071","HH080","HH081","HH090","HH091","HA010","HA020","HA030","HA040","HA050","HA060","HA070","HX040","HX050","HX090","HX080","HX060","HX070","HX120","HX010","R_HA030","R_HA040","R_HA050","R_HA060","R_HA070"
"2010","SE",36,"4","2010","24",36314,17062,0,0,,,,,,,,,0,0,0,0,0,,111,,0,0,0,,19252,,"2","NA","2","NA","NA","NA","1","1","1","1","1","1","1","1","4","2071.74","2","2","2","2","2","2","1","NA","3","5","2","1","NA","NA","554.47","NA","1","NA","1","NA","1","1","725501","NA","NA","NA","NA","1",1,,,,,,,,,,,
"2010","SE",46,"2","2010","15",13586,770,0,0,,,,,,,,,0,0,0,0,0,,451,,0,238,0,,12578,,"2","NA","2","NA","NA","NA","1","1","1","1","1","1","1","1","6","NA","3","3","2","2","2","2","4","NA","2","5","2","1","NA","637.34","376.77","NA","1","NA","1","NA","NA","1","480301","NA","NA","NA","NA","1",1,,,,,,,,,,,
"2010","SE",60,"4","2010","18",12438,-4305,0,0,,,,,,,,,0,0,0,0,0,,1417,,0,2184,0,,14559,,"2","NA","2","NA","NA","NA","1","1","1","1","1","3","1","1","5","1412.55","2","NA","2","2","2","2","1","NA","3","4","2","1","453.8","742.53","568.6","NA","1","NA","1","NA","1","NA","NA","512802","NA","NA","NA","1",1,,,,,,,,,,,
"2010","SE",71,"4","2010","20",19417,15748,0,0,,,,,,,,,0,0,0,0,0,,0,,0,60,0,,3609,,"NA","NA","2","NA","NA","NA","1","1","1","1","1","1","1","3","6","1412.55","2","NA","2","2","2","2","1","NA","2","2","2","1","753.36","637.34","668.7","NA","1","NA","1","NA","2","NA","789201","NA","NA","NA","NA","1",1,,,,,,,,,,,
"2010","SE",81,"3","2010","17",9837,6202,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,3635,,"2","NA","2","NA","NA","NA","1","1","1","1","1","3","1","1","3","941.7","3","NA","2","2","2","2","1","NA","3","6","2","1","NA","542.42","546.28","NA","1","NA","1","NA","NA","1","NA","NA","NA","NA","NA","1",1,,,,,,,,,,,
"2010","SE",89,"4","2010","15",4508,-1256,0,0,,,,,,,,,0,0,0,0,0,,369,,0,0,0,,5765,,"2","NA","2","NA","NA","NA","1","1","1","1","1","1","1","1","4","1412.55","2","NA","2","2","2","2","1","NA","2","1","2","1","NA","401.73","533.76","NA","1","NA","1","NA","NA","1","NA","NA","NA","NA","NA","1",1,,,,,,,,,,,
"2010","SE",102,"2","2010","35",29126,22689,0,0,,,,,,,,,0,0,0,1249,0,,0,,0,0,0,,6437,,"2","NA","2","NA","2","NA","1","1","1","1","3","1","1","1","4","1130.04","3","NA","2","2","2","2","4","NA","1","6","2","1","NA","742.53","565.11","NA","1","NA","1","NA","1","NA","364601","NA","NA","NA","NA","1",1,,,,,,,,,,,
"2010","SE",108,"4","2010","12",79434,75371,0,0,,,,,,,,,0,0,0,0,0,,952,,0,448,0,,3615,,"2","NA","2","NA","NA","NA","1","1","1","1","1","1","1","1","6","470.85","3","NA","2","1","2","2","1","NA","2","6","2","1","NA","817.87","640.36","NA","1","NA","1","NA","3","1","360401","NA","NA","NA","NA","1",1,,,,,,,,,,,
"2010","SE",121,"1","2010","24",8558,6403,0,0,,,,,,,,,0,0,0,0,0,,1506,,0,0,0,,2155,,"2","NA","2","NA","2","NA","1","1","2","1","1","1","1","3","5","1412.55","3","NA","2","2","2","2","1","NA","2","4","2","1","NA","637.34","593.36","NA","1","NA","1","NA","NA","NA","NA","32502","NA","NA","NA","1",1,,,,,,,,,,,
"2010","SE",127,"4","2010","13",11962,10126,0,0,,,,,,,,,0,0,0,0,0,,441,,0,0,0,,1835,,"2","NA","2","NA","NA","NA","1","1","1","1","1","3","1","1","3","941.7","3","3","2","2","2","2","1","NA","3","2","2","1","367.26","NA","336.19","NA","1","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","1",1,,,,,,,,,,,
