"HB010","HB020","HB030","HB050","HB060","HB100","HY010","HY020","HY022","HY023","HY025","HY030N","HY081N","HY100N","HY131N","HY145N","HY170N","HY030G","HY040G","HY050G","HY060G","HY070G","HY080G","HY081G","HY090G","HY100G","HY110G","HY120G","HY130G","HY131G","HY140G","HY170G","HS011","HS021","HS031","HS040","HS050","HS060","HS070","HS080","HS090","HS100","HS110","HS120","HS130","HS140","HS150","HS160","HS170","HS180","HS190","HH010","HH021","HH030","HH040","HH050","HH060","HH061","HH070","HH071","HH081","HH091","HX010","HX040","HX050","HX060","HX070","HX080","HX090","HX120"
"2011","SE",35,"4","2011","37",85903,68273,0,0,,,,,,,,,0,0,0,0,0,,71,,0,3628,0,,14002,,"3","3","3","1","1","2","1","1","1","1","1","6","2097.03","1","NA","2","2","2","2","4","2","2","2","1","NA","848.25","1038.24","NA","1","1",,"1",1,,,,,
"2011","SE",45,"2","2011","12",48544,40942,0,0,,,,,,,,,0,0,0,0,0,,2,,0,350,0,,7253,,"3","3","3","1","1","1","1","1","1","1","1","6","4194.06","2","NA","2","1","2","2","1","2","6","2","1","NA","NA","519.43","0","1","1",,"1",1,,,,,
"2011","SE",59,"3","2011","15",28891,22166,0,0,,,,,,,,,0,0,0,7785,0,,9,,0,0,0,,6724,,"1","3","NA","1","1","1","1","3","1","1","1","4","NA","NA","3","2","2","2","1","1","3","5","2","1","NA","978.47","687.2","NA","1","1",,"1",1,,,,,
"2011","SE",70,"3","2011","47",84971,81874,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,3097,,"3","3","NA","1","1","1","1","1","1","1","1","6","419.41","NA","NA","2","2","2","2","4","3","5","2","1","474.77","978.47","315.39","0","1","1",,"1",1,,,,,
"2011","SE",80,"1","2011","49",24999,17209,0,0,,,,,,,,,0,0,0,0,0,,253,,0,0,0,,7790,,"3","3","3","1","1","1","1","1","1","1","1","6","2306.73","1","NA","2","2","2","2","4","3","5","2","1","NA","848.25","661.82","NA","1","1",,"1",1,,,,,
"2011","SE",88,"1","2011","14",30725,4436,0,0,,,,,,,,,0,0,0,0,0,,1206,,0,0,0,,26289,,"3","3","NA","1","1","1","1","1","1","1","1","5","NA","3","NA","2","2","2","2","1","1","6","2","1","NA","1092.24","593.46","NA","1","1",,"1",1,,,,,
"2011","SE",101,"3","2011","10",25660,14249,0,0,,,,,,,,,0,0,0,0,0,,710,,0,0,0,,11411,,"3","3","NA","1","1","1","1","1","1","1","1","6","2097.03","3","NA","1","2","2","2","1","2","6","2","1","NA","583.29","494.48","0","1","1",,"1",1,,,,,
"2011","SE",107,"3","2011","13",33579,30728,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,2851,,"3","3","NA","1","1","1","1","1","1","1","3","4","1834.9","3","2","2","2","2","2","1","3","3","2","NA","NA","NA","523.21","NA","1","1",,"1",1,,,,,
"2011","SE",120,"3","2011","13",15123,10075,0,0,,,,,,,,,0,0,0,0,0,,377,,0,0,0,,5048,,"3","3","NA","1","1","1","1","1","1","1","1","4","524.26","3","3","2","2","2","2","1","2","5","2","1","NA","1092.24","717.18","0","1","1",,"1",1,,,,,
"2011","SE",126,"3","2011","12",33342,32964,0,0,,,,,,,,,0,0,0,0,0,,1511,,0,0,0,,378,,"3","3","3","1","1","2","1","1","1","1","1","3","NA","2","2","2","2","2","2","1","2","6","2","1","NA","NA","490.39","NA","1","1",,"1",1,,,,,
"2011","SE",129,"3","2011","40",37155,24268,0,0,,,,,,,,,0,0,0,0,0,,1630,,0,0,0,,12886,,"3","3","NA","1","1","1","1","1","1","1","1","4","1572.77","3","NA","2","2","2","2","1","2","6","2","1","NA","848.25","499.09","NA","1","1",,"1",1,,,,,
"2011","SE",137,"3","2011","23",16410,8109,0,0,,,,,,,,,0,0,0,0,0,,82,,0,0,0,,8301,,"NA","1","3","1","1","2","1","1","1","1","1","5","2621.29","3","NA","2","2","2","2","1","2","6","2","1","NA","NA","596.19","NA","1","1",,"1",1,,,,,
"2011","SE",145,"2","2011","10",21318,6107,0,0,,,,,,,,,0,0,0,0,0,,3330,,0,3554,0,,11657,,"3","3","NA","1","1","1","1","1","1","1","1","5","2621.29","3","NA","1","2","2","1","1","3","4","2","1","978.47","1092.24","526.46","NA","1","1",,"1",1,,,,,
"2011","SE",152,"3","2011","9",49687,41397,0,0,,,,,,,,,0,0,0,0,0,,1257,,0,0,0,,8290,,"3","3","NA","1","1","1","1","1","1","1","1","4","2621.29","3","3","2","2","2","2","4","2","4","2","1","NA","848.25","727.35","NA","1","1",,"1",1,,,,,
"2011","SE",183,"3","2011","17",24330,8800,0,0,,,,,,,,,0,0,0,0,0,,52,,0,0,0,,15530,,"3","3","NA","1","1","1","1","1","1","1","1","5","1258.22","3","NA","1","2","2","2","1","3","5","2","1","NA","1092.24","479.8","NA","1","1",,"1",1,,,,,
"2011","SE",188,"4","2011","10",227256,216466,0,0,,,,,,,,,0,0,0,0,0,,518,,0,278,0,,10513,,"3","3","NA","1","1","1","1","1","1","1","1","6","1572.77","3","2","2","2","2","2","1","2","6","2","1","NA","1092.24","640.54","NA","1","1",,"1",1,,,,,
"2011","SE",189,"3","2011","18",28126,22675,0,0,,,,,,,,,0,0,0,1226,0,,14,,0,0,0,,5451,,"3","3","NA","1","1","2","1","1","1","1","1","2","1258.22","2","3","2","2","1","2","3","3","4","2","1","NA","981.3","527.3","NA","1","1",,"1",1,,,,,
"2011","SE",232,"4","2011","32",45932,36577,0,0,,,,,,,,,0,0,0,0,0,,21,,0,0,0,,9356,,"3","3","3","1","1","NA","1","1","1","1","1","4","1048.51","2","3","2","2","2","2","1","3","3","2","1","NA","NA","477.39","NA","1","1",,"1",1,,,,,
"2011","SE",243,"3","2011","21",20167,20114,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,53,,"3","3","3","1","1","1","1","1","1","1","1","4","NA","3","NA","2","2","2","2","1","3","4","2","1","576.68","978.47","630.26","NA","1","1",,"1",1,,,,,
"2011","SE",256,"2","2011","51",56803,50492,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,6311,,"3","3","3","1","1","1","1","1","1","1","1","4","NA","1","NA","2","2","1","1","1","3","3","2","1","471.83","NA","407.87","NA","1","1",,"1",1,,,,,
"2011","SE",257,"1","2011","13",15089,10875,0,0,,,,,,,,,0,0,0,0,0,,697,,0,0,0,,4214,,"3","3","NA","2","1","1","1","1","1","1","1","5","2621.29","3","NA","2","2","2","1","2","3","4","2","1","NA","NA","555.92","NA","1","1",,"1",1,,,,,
"2011","SE",292,"1","2011","37",956,-6272,0,0,,,,,,,,,0,0,0,0,0,,21,,0,358,0,,6871,,"3","1","NA","1","1","1","1","1","1","1","1","4","NA","3","3","2","2","2","2","1","2","5","2","1","NA","1092.24","751.26","NA","1","1",,"1",1,,,,,
"2011","SE",313,"3","2011","19",58103,50380,0,0,,,,,,,,,0,0,0,0,0,,107,,0,0,0,,7722,,"3","3","3","1","1","1","1","1","1","1","3","4","1887.33","3","NA","2","2","2","2","1","3","6","2","1","NA","719.18","462.5","NA","1","1",,"1",1,,,,,
"2011","SE",345,"3","2011","13",18721,16406,0,0,,,,,,,,,0,0,0,0,0,,1455,,0,0,0,,2314,,"3","3","NA","1","1","1","1","1","1","1","1","2","2097.03","1","3","2","2","2","2","1","2","5","2","1","NA","696","552.88","NA","1","1",,"1",1,,,,,
"2011","SE",358,"3","2011","32",24577,23025,0,0,,,,,,,,,0,0,0,0,0,,23,,0,1318,0,,234,,"3","3","NA","1","1","1","1","1","1","1","1","6","3145.54","3","NA","2","2","2","2","1","2","3","2","1","NA","NA","514.93","NA","1","1",,"1",1,,,,,
