"HB010","HB020","HB030","HB050","HB060","HB100","HY010","HY020","HY022","HY023","HY025","HY030N","HY081N","HY100N","HY131N","HY145N","HY170N","HY030G","HY040G","HY050G","HY060G","HY070G","HY080G","HY081G","HY090G","HY100G","HY110G","HY120G","HY130G","HY131G","HY140G","HY170G","HS011","HS021","HS031","HS040","HS050","HS060","HS070","HS080","HS090","HS100","HS110","HS120","HS130","HS140","HS150","HS160","HS170","HS180","HS190","HH010","HH021","HH030","HH040","HH050","HH060","HH061","HH070","HH071","HH081","HH091","HX010","HX040","HX050","HX060","HX070","HX080","HX090","HX120","HC010","HC020","HC030","HC040","HC050","HC060","HC070","HC080","HC090","HC100","HC110","HC120","HC130","HC140","HC150","HC160"
"2012","SE",37,"3","2012","15",57729,50494,0,0,,,,,,,,,0,0,0,0,0,,0,,0,811,0,,6423,,"NA","3","NA","1","1","1","1","1","1","1","3","5","2214.89","3","NA","2","2","2","2","1","3","2","2","1","NA","777.09","348.29","996.7","1","1",,"1",1,,,,,,"2","140","1","1","1","1","1","3","4","3","3","3","3","NA","3","NA"
"2012","SE",48,"2","2012","46",14398,13904,0,0,,,,,,,,,0,0,0,0,0,,76,,0,0,0,,493,,"3","3","NA","1","1","1","1","1","1","1","3","5","996.7","2","NA","2","2","2","2","4","3","4","2","1","NA","1050.19","715.96","0","1","1",,"1",1,,,,,,"2","60","1","1","1","1","1","3","4","NA","4","4","3","NA","2","NA"
"2012","SE",62,"2","2012","37",21728,19936,0,0,,,,,,,,,0,0,0,0,0,,219,,0,0,0,,1792,,"NA","3","NA","NA","1","1","1","1","1","1","3","5","1107.44","3","NA","2","2","2","2","3","3","6","2","1","693.59","1050.19","366.67","NA","1","1",,"1",1,,,,,,"2","120","1","1","1","1","1","3","4","2","3","3","3","NA","3","NA"
"2012","SE",74,"4","2012","28",25100,20626,0,0,,,,,,,,,0,0,0,0,0,,3666,,0,410,0,,4064,,"3","3","3","1","1","1","1","3","1","1","1","3","2436.38","NA","NA","2","2","2","2","1","2","6","2","1","775.21","634.68","1328.93","NA","1","1",,"1",1,,,,,,"2","167","1","1","1","1","1","2","4","4","3","4","NA","NA","3","NA"
"2012","SE",84,"1","2012","25",32533,20791,0,0,,,,,,,,,0,0,0,0,0,,637,,0,0,0,,11742,,"3","3","3","1","1","1","1","1","1","1","1","4","2214.89","2","3","2","2","2","2","NA","1","3","2","1","1052.07","777.09","488.83","129.2","1","1",,"1",1,,,,,,"2","33","1","1","1","1","1","4","3","3","3","4","3","NA","NA","NA"
"2012","SE",93,"3","2012","18",38552,29277,0,0,,,,,,,,,0,0,0,0,0,,547,,0,598,0,,8678,,"3","3","NA","1","NA","1","1","1","1","1","1","2","NA","2","3","2","2","2","2","4","2","3","2","1","NA","1050.19","545.31","NA","1","1",,"1",1,,,,,,"2","200","2","1","1","1","NA","3","2","3","3","3","3","NA","3","NA"
"2012","SE",107,"1","2012","22",25138,10470,0,0,,,,,,,,,0,0,0,3609,0,,0,,0,0,0,,14667,,"3","3","NA","1","1","1","1","1","1","1","1","6","2436.38","3","NA","2","2","2","2","3","1","4","1","1","NA","1183.75","686.73","NA","1","1",,"1",1,,,,,,"2","150","1","1","1","1","1","2","3","3","3","3","3","NA","3","NA"
"2012","SE",113,"1","2012","15",18331,16686,0,0,,,,,,,,,0,0,0,0,0,,43,,0,0,0,,1645,,"3","3","NA","1","1","1","1","1","1","1","1","4","664.47","3","3","2","2","1","2","1","2","4","2","2","NA","NA","701.9","83.06","1","1",,"1",1,,,,,,"2","70","1","1","1","1","2","4","4","4","3","4","2","NA","2","NA"
"2012","SE",126,"3","2012","18",160750,152342,0,0,,,,,,,,,0,0,0,0,0,,0,,0,517,0,,7890,,"3","3","NA","1","1","1","1","1","1","1","1","6","2214.89","3","NA","1","2","2","2","4","1","5","2","1","NA","1183.75","477.75","NA","1","1",,"1",1,,,,,,"2","100","1","1","1","2","1","4","4","4","4","3","4","NA","3","NA"
"2012","SE",132,"2","2012","19",12137,10459,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,1679,,"3","3","NA","1","1","2","1","1","1","1","1","4","1328.93","2","3","2","2","2","2","1","3","2","2","1","NA","634.68","355.05","NA","1","1",,"1",1,,,,,,"2","66","2","1","1","1","1","2","3","4","4","4","4","NA","3","NA"
"2012","SE",136,"2","2012","38",44934,28074,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,16860,,"3","3","3","1","1","1","1","1","1","1","1","2","NA","3","3","2","2","2","2","1","2","3","2","1","NA","NA","0","NA","1","1",,"1",1,,,,,,"2","200","1","1","1","1","1","4","4","3","4","4","4","NA","3","NA"
"2012","SE",144,"3","2012","19",21338,1985,0,0,,,,,,,,,0,0,0,0,0,,132,,0,0,0,,19354,,"3","3","NA","1","1","1","1","1","3","1","1","4","1328.93","2","NA","2","2","2","2","4","3","5","NA","1","NA","1050.19","671.33","110.74","1","1",,"1",1,,,,,,"2","120","1","1","1","NA","1","1","3","3","3","NA","3","NA","3","NA"
"2012","SE",153,"4","2012","18",41324,33680,0,0,,,,,,,,,0,0,0,0,0,,21514,,0,0,0,,7644,,"3","3","NA","1","1","1","1","3","1","1","1","5","3322.33","3","NA","2","2","2","2","4","2","5","2","1","NA","NA","387.61","NA","1","1",,"1",1,,,,,,"2","165","1","1","1","1","1","4","3","3","4","4","4","NA","3","NA"
"2012","SE",161,"4","2012","12",1860,1475,0,0,,,,,,,,,0,0,0,0,0,,642,,0,0,0,,385,,"3","3","3","1","1","1","1","1","1","1","1","4","996.7","2","NA","2","2","2","2","3","2","4","1","1","830.58","NA","736.23","NA","1","1",,"1",1,,,,,,"2","84","1","1","1","1","1","3","3","4","3","3","3","NA","3","NA"
"2012","SE",193,"4","2012","20",9814,9684,0,0,,,,,,,,,0,0,0,0,0,,4,,0,27,0,,103,,"1","3","3","1","1","1","1","1","1","1","3","4","1107.44","3","NA","2","1","2","2","3","1","4","2","1","NA","911.54","826.15","138.43","1","1",,"1",1,,,,,,"2","160","1","1","1","1","1","4","3","3","4","NA","4","NA","3","NA"
"2012","SE",199,"3","2012","19",6564,-5691,0,0,,,,,,,,,0,0,0,0,0,,6564,,0,1361,0,,10893,,"3","3","3","1","1","1","1","1","1","1","1","6","NA","3","NA","2","2","2","2","1","2","2","2","1","NA","NA","1112.65","44.3","1","1",,"1",1,,,,,,"2","140","1","1","1","1","1","4","4","4","4","3","4","NA","3","NA"
"2012","SE",200,"2","2012","16",15735,4436,0,0,,,,,,,,,0,0,0,0,0,,0,,0,1517,0,,9782,,"3","3","3","1","1","1","1","1","1","1","1","4","3322.33","3","NA","1","2","2","2","1","1","5","2","1","NA","930.7","699.79","NA","1","1",,"1",1,,,,,,"2","140","1","1","1","1","1","4","4","4","3","NA","1","NA","3","NA"
"2012","SE",245,"4","2012","47",48613,37570,0,0,,,,,,,,,0,0,0,0,0,,1484,,0,0,0,,11043,,"3","3","NA","1","1","1","3","1","1","1","1","3","1162.82","3","NA","2","1","2","1","3","2","5","2","1","841.66","NA","380.07","NA","1","1",,"1",1,,,,,,"2","45","1","1","1","1","1","3","4","4","2","3","3","NA","3","NA"
"2012","SE",257,"3","2012","41",20009,17919,0,0,,,,,,,,,0,0,0,0,0,,255,,0,0,0,,2091,,"3","3","NA","1","1","1","1","1","1","1","1","5","NA","3","NA","2","2","2","2","1","2","4","2","1","NA","777.09","856.61","NA","1","1",,"1",1,,,,,,"2","250","1","1","1","1","1","3","4","4","4","NA","4","NA","3","NA"
"2012","SE",270,"2","2012","14",60642,49538,0,0,,,,,,,,,0,0,0,0,0,,112,,0,0,0,,11104,,"3","3","NA","1","1","1","1","1","1","1","1","5","1328.93","3","NA","2","2","2","2","1","3","3","2","1","NA","NA","842.88","NA","1","1",,"1",1,,,,,,"2","90","1","1","1","1","1","4","3","3","3","4","3","NA","2","NA"
"2012","SE",272,"3","2012","23",16564,12424,0,0,,,,,,,,,0,0,0,0,0,,242,,0,0,0,,4140,,"3","3","NA","1","1","NA","1","3","1","1","1","5","3322.33","3","1","2","2","2","2","1","2","6","2","1","775.21","NA","533.01","NA","1","1",,"1",1,,,,,,"2","75","NA","2","1","1","2","4","4","2","4","3","4","NA","3","NA"
"2012","SE",308,"4","2012","23",46352,32531,0,0,,,,,,,,,0,0,0,0,0,,0,,0,851,0,,12970,,"3","3","NA","1","1","1","1","1","1","1","1","5","2768.61","3","3","2","2","2","2","1","3","5","2","1","NA","1183.75","1202.13","NA","1","1",,"1",1,,,,,,"2","140","1","1","1","1","1","4","4","4","NA","2","3","NA","3","NA"
"2012","SE",331,"1","2012","16",5555,-6161,0,0,,,,,,,,,0,0,0,0,0,,390,,0,218,0,,11498,,"3","3","3","1","1","2","1","1","1","1","1","5","1771.91","3","NA","2","2","2","1","4","2","6","2","1","NA","930.7","387.61","0","1","1",,"1",1,,,,,,"2","150","1","1","1","1","1","4","4","4","3","2","3","NA","NA","NA"
"2012","SE",365,"4","2012","14",123533,123240,0,0,,,,,,,,,0,0,0,0,0,,786,,0,0,0,,293,,"3","3","NA","1","1","1","1","1","1","1","3","5","885.96","3","NA","2","2","2","2","4","3","5","2","1","NA","NA","669.45","NA","1","1",,"1",1,,,,,,"2","275","1","2","1","1","1","4","4","4","3","4","4","NA","3","NA"
"2012","SE",378,"3","2012","13",8676,8634,0,0,,,,,,,,,0,0,0,3104,0,,0,,0,0,0,,43,,"3","3","NA","1","1","2","1","1","1","1","1","4","1661.17","3","3","2","1","2","2","1","2","4","2","1","NA","NA","809.65","0","1","1",,"1",1,,,,,,"2","140","1","2","1","1","1","3","4","4","3","4","2","NA","3","NA"
