"PB010","PB020","PB030","PB040","PB060","PB100","PB110","PB120","PB130","PB140","PB150","PB190","PB200","PB220A","PE010","PE020","PE040","PL031","PL035","PL015","PL020","PL025","PL040","PL051","PL060","PL100","PL111","PL120","PL130","PL140","PL150","PL160","PL170","PL180","PL190","PH010","PH020","PH030","PH040","PH050","PH060","PH070","PY020N","PY035N","PY010G","PY020G","PY021G","PY030G","PY031G","PY035G","PY050G","PY080G","PY090G","PY100G","PY110G","PY120G","PY130G","PY140G","PY200G","PX010","PX020","PX030","PX040","PX050","PC170","PC180"
"2012","SE",371,687.024608501119,"NA","3","2012","15","4",1972,"2","2","1","SE","2","NA","5","1","NA","1","2","NA","1","2","40","NA","q","NA","NA","1","2","NA","NA","NA","NA","NA","2","NA","NA","NA","2","1",383,0,54557,0,0,1580,1,0,0,0,0,0,0,3172,0,0,1,"9.0298",39,37,"3","7","NA","NA"
"2012","SE",481,687.024608501119,"NA","1","2012","26","2",1931,"2","4","1","SE","2","NA","1","7","NA","1","NA","NA","1","5","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","1","NA","NA","2","NA","1","8",14,0,3093,0,0,0,1,0,0,0,0,11228,0,0,0,0,1,"9.0298",80,48,"3","2","2","NA"
"2012","SE",621,687.024608501119,"NA","3","2012","22","2",1942,"2","2","2","SE","2","NA","3","7","NA","NA","2","NA","3","4","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","3","2","NA","2","NA",0,0,0,0,0,10901,1,0,0,0,0,21509,0,0,0,0,1,"9.0298",69,62,"3","6","1","2"
"2012","SE",741,687.024608501119,"NA","3","2012","14","3",1936,"2","4","3","SE","2","NA","5","7","NA","NA","NA","NA","3","0 - 1","NA","NA","NA","7","NA","1","NA","NA","NA","NA","NA","3","NA","NA","2","NA","NA","NA",0,0,5627,0,0,7462,1,0,0,0,0,15807,0,0,0,0,1,"9.0298",75,74,"3","2","NA","NA"
"2012","SE",841,687.024608501119,"951.7187","4","2012","10","1",1959,"1","2","1","SE","2","NA","6","1","NA","NA","NA","NA","3","2","40","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","3","NA","NA","2","NA",62,111,31895,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"9.0298",52,84,"2","2","1","NA"
"2012","SE",931,687.024608501119,"NA","3","2012","18","2",1954,"1","2","1","SE","2","NA","5","1","NA","NA","NA","NA","3","3","40","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","1","3","2","NA","2","NA",0,0,38005,0,0,4919,1,0,0,0,0,0,0,0,0,0,1,"9.0298",57,93,"2","6","NA","NA"
"2012","SE",1071,687.024608501119,"NA","4","2012","35","4",1988,"1","1","1","SE","2","NA","3","1","NA","NA","NA","NA","3","8","40","NA","h","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","2","NA","2","NA",0,664,21529,0,0,6850,1,1329,0,0,0,0,0,0,0,0,1,"9.0298",23,107,"2","3","NA","NA"
"2012","SE",1131,687.024608501119,"1168.482","3","2012","13","1",1931,"2","4","1","SE","2","NA","1","7","NA","1","NA","NA","3","5","NA","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","1",0,845,1255,0,0,188,1,0,0,0,0,17032,0,0,0,0,1,"9.0298",80,113,"3","2","2","NA"
"2012","SE",1261,687.024608501119,"1362.271","3","2012","25","1",1957,"1","2","3","SE","2","NA","4","NA","NA","NA","NA","NA","3",,"NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","2","NA","NA","2","NA","2","NA",0,0,160750,0,0,4221,1,399,0,0,0,0,0,0,0,0,1,"9.0298",54,126,"2","7","NA","NA"
"2012","SE",1321,687.024608501119,"1033.63","3","2012","22","2",1985,"2","2","1","SE","2","NA","3","10","NA","1","NA","NA","3","5","NA","NA","NA","NA","NA","1","2","NA","NA","NA","NA","NA","1","3","2","NA","NA","NA",0,280,0,0,0,5741,1,266,0,0,0,0,0,0,0,12137,1,"9.0298",26,132,"3","2","NA","NA"
