"HB010","HB020","HB030","HB050","HB060","HB100","HY010","HY020","HY022","HY023","HY030N","HY081N","HY100N","HY131N","HY145N","HY170N","HY030G","HY040G","HY050G","HY060G","HY070G","HY080G","HY081G","HY090G","HY100G","HY110G","HY120G","HY130G","HY131G","HY140G","HY170G","HS011","HS021","HS031","HS040","HS050","HS060","HS070","HS080","HS090","HS100","HS110","HS120","HS130","HS140","HS150","HS160","HS170","HS180","HS190","HH010","HH021","HH030","HH040","HH050","HH060","HH061","HH070","HH071","HH081","HH091","HD080","HD100","HD110","HD120","HD140","HD150","HD160","HD170","HD180","HD190","HD200","HD210","HD220","HD240","HX010","HX040","HX050","HX060","HX070","HX080","HX090","HX120"
"2013","SE",39,"4","2013","35",14007,12519,0,0,,,,,,,,0,0,0,1317,0,,34,,0,0,0,,1489,,"3","3","NA","1","1","1","1","1","1","1","1","6","1723.33","3","NA","2","2","2","2","1","2","5","2","1","NA","971.96","944.27","0","1","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","SE",49,"3","2013","65",22449,17519,0,0,,,,,,,,0,0,0,0,0,,410,,0,0,0,,4930,,"3","3","3","1","1","1","1","1","1","1","1","4","3446.65","2","3","2","2","2","1","4","2","3","2","1","723.8","1196.79","899.35","1148.88","1","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","SE",65,"3","2013","28",19062,13076,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,5985,,"3","3","NA","1","1","1","1","1","1","1","1","4","4021.09","2","3","2","1","2","2","2","2","5","2","1","NA","1322.14","736.43","0","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","SE",77,"3","2013","37",23529,17362,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,6166,,"3","3","3","1","1","2","1","1","1","1","1","6","1723.33","3","NA","2","2","2","2","1","2","5","2","1","544.57","NA","1253.43","45.96","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","SE",88,"3","2013","23",34201,3900,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,30301,,"3","3","3","1","1","1","1","1","1","1","1","6","3446.65","2","NA","2","2","2","2","4","2","4","2","1","1201.39","1022.97","790.32","NA","1","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","SE",96,"3","2013","12",267790,261477,0,0,,,,,,,,0,0,0,2303,0,,0,,0,73,0,,6240,,"3","3","NA","1","1","1","1","1","3","1","1","5","2297.77","2","NA","2","1","2","2","1","3","4","2","1","NA","NA","1573.4","NA","1","1","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","SE",111,"4","2013","17",35928,27532,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,8396,,"3","3","NA","1","1","1","1","1","1","1","1","4","NA","2","NA","2","2","2","2","1","2","6","2","1","1034","1022.97","650.96","NA","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","SE",117,"4","2013","19",17359,12254,0,0,,,,,,,,0,0,0,0,0,,3924,,0,257,0,,4848,,"NA","3","NA","2","1","1","1","1","1","1","1","4","1148.88","2","NA","2","2","2","2","3","3","3","2","1","NA","1022.97","961.5","459.55","1","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","SE",132,"3","2013","25",44235,33436,0,0,,,,,,,,0,0,0,0,0,,1801,,0,6281,0,,4519,,"3","3","NA","1","1","1","1","1","1","1","1","5","1148.88","3","NA","2","2","1","1","1","1","6","1","1","NA","1322.14","807.32","NA","1","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","SE",138,"3","2013","12",35911,30228,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,5682,,"3","3","NA","1","1","1","1","3","1","1","1","5","1378.66","3","NA","1","2","2","2","1","1","3","2","1","379.13","NA","608.91","0","3","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
